NAME                               CPU(cores)   MEMORY(bytes)   
accounting-5dc867c55b-psvmx        18m          131Mi           
ad-6595659799-v9wxw                7m           216Mi           
cart-6d98c5f7bf-gwp4h              35m          65Mi            
cart-6d98c5f7bf-v4kr2              13m          71Mi            
checkout-d69c4d9d-6lld6            12m          13Mi            
checkout-d69c4d9d-7tk84            10m          12Mi            
currency-f586fcb4-ptxc5            8m           3Mi             
currency-f586fcb4-qrhxn            10m          5Mi             
email-7fb5949f98-5j95x             21m          51Mi            
flagd-86bd5f8d76-jgvqr             8m           41Mi            
fraud-detection-548484897-fl4cw    7m           237Mi           
frontend-f8c85f89c-4b48z           114m         90Mi            
frontend-f8c85f89c-4ck6w           97m          95Mi            
frontend-f8c85f89c-kmxff           94m          117Mi           
frontend-proxy-7bd6cc66-2wg6j      27m          32Mi            
frontend-proxy-7bd6cc66-whp6j      38m          28Mi            
image-provider-c85cf9d65-92rfw     1m           6Mi             
kafka-6f9ff79c54-v45cb             19m          535Mi           
llm-6c96948c64-dnz8f               20m          73Mi            
load-generator-7dbc8d784-dxcq6     413m         108Mi           
payment-5c5cf4f445-6fg6n           20m          102Mi           
payment-5c5cf4f445-sx6d2           11m          98Mi            
postgresql-5b49658ddf-b4p2m        183m         51Mi            
product-catalog-5dbccf75c9-8t557   28m          13Mi            
product-catalog-5dbccf75c9-bpqvr   86m          13Mi            
product-reviews-6b466ffbbd-t2pst   211m         90Mi            
quote-85c74d484b-m5bbz             6m           18Mi            
recommendation-78948dd47d-zqjdv    60m          51Mi            
shipping-5547c65698-g9vjx          1m           3Mi             
shipping-5547c65698-sqnwm          4m           3Mi             
valkey-cart-dd686478b-97hdp        7m           4Mi             
