NAME                    ADDRESSTYPE   PORTS       ENDPOINTS                 AGE
ad-n5dpz                IPv4          8080        10.0.10.240               7d22h
cart-zqgw8              IPv4          8080        10.0.10.217,10.0.10.207   7d22h
checkout-9zldt          IPv4          8080        10.0.10.230,10.0.10.165   7d22h
currency-2xtxk          IPv4          8080        10.0.10.197,10.0.10.40    7d22h
email-lnsf4             IPv4          8080        10.0.11.32                7d22h
flagd-l5xzf             IPv4          8013,8016   10.0.10.196               7d22h
frontend-js74m          IPv4          8080        10.0.10.213,10.0.10.141   7d22h
frontend-proxy-wglrb    IPv4          8080        10.0.10.241,10.0.10.48    7d22h
image-provider-xf92b    IPv4          8081        10.0.10.77                7d22h
kafka-mzjps             IPv4          9092,9093   10.0.10.13                7d22h
llm-qxrv6               IPv4          8000        10.0.10.27                7d22h
load-generator-jfn6c    IPv4          8089        10.0.10.194               7d22h
payment-r4n5j           IPv4          8080        10.0.10.98,10.0.10.47     7d22h
postgresql-2ld76        IPv4          5432        10.0.10.242               7d22h
product-catalog-cph5j   IPv4          8080        10.0.10.219,10.0.10.220   7d22h
product-reviews-c7xfc   IPv4          3551        10.0.10.179               7d22h
quote-rm4wm             IPv4          8080        10.0.10.23,10.0.10.176    7d22h
recommendation-68rmn    IPv4          8080        10.0.10.183               7d22h
shipping-qvfpv          IPv4          8080        10.0.10.21,10.0.10.87     7d22h
valkey-cart-lkhfj       IPv4          6379        10.0.10.65                7d22h
