NAME              READY   UP-TO-DATE   AVAILABLE   AGE   CONTAINERS        IMAGES                                                                            SELECTOR
accounting        1/1     1            1           8d    accounting        511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:4526141-accounting        opentelemetry.io/name=accounting
ad                1/1     1            1           8d    ad                511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:8340af1-ad                opentelemetry.io/name=ad
cart              2/2     2            2           8d    cart              511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:8340af1-cart              opentelemetry.io/name=cart
checkout          2/2     2            2           8d    checkout          511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:8340af1-checkout          opentelemetry.io/name=checkout
currency          2/2     2            2           8d    currency          511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:8340af1-currency          opentelemetry.io/name=currency
email             1/1     1            1           8d    email             511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:8340af1-email             opentelemetry.io/name=email
flagd             1/1     1            1           8d    flagd             ghcr.io/open-feature/flagd:v0.12.9                                                opentelemetry.io/name=flagd
fraud-detection   1/1     1            1           8d    fraud-detection   511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:8340af1-fraud-detection   opentelemetry.io/name=fraud-detection
frontend          2/2     2            2           8d    frontend          511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:8340af1-frontend          opentelemetry.io/name=frontend
frontend-proxy    2/2     2            2           8d    frontend-proxy    511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:8340af1-frontend-proxy    opentelemetry.io/name=frontend-proxy
image-provider    1/1     1            1           8d    image-provider    511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:8340af1-image-provider    opentelemetry.io/name=image-provider
kafka             1/1     1            1           8d    kafka             511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:8340af1-kafka             opentelemetry.io/name=kafka
llm               1/1     1            1           8d    llm               511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:8340af1-llm               opentelemetry.io/name=llm
load-generator    1/1     1            1           8d    load-generator    511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:8340af1-load-generator    opentelemetry.io/name=load-generator
payment           2/2     2            2           8d    payment           511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:8340af1-payment           opentelemetry.io/name=payment
postgresql        1/1     1            1           8d    postgresql        postgres:17.6                                                                     opentelemetry.io/name=postgresql
product-catalog   2/2     2            2           8d    product-catalog   511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:8340af1-product-catalog   opentelemetry.io/name=product-catalog
product-reviews   1/1     1            1           8d    product-reviews   511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:c16ecbe-product-reviews   opentelemetry.io/name=product-reviews
quote             2/2     2            2           8d    quote             511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:8340af1-quote             opentelemetry.io/name=quote
recommendation    1/1     1            1           8d    recommendation    511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:8340af1-recommendation    opentelemetry.io/name=recommendation
shipping          2/2     2            2           8d    shipping          511825856493.dkr.ecr.us-east-1.amazonaws.com/techx-corp:8340af1-shipping          opentelemetry.io/name=shipping
valkey-cart       1/1     1            1           8d    valkey-cart       valkey/valkey:9.0.1-alpine3.23                                                    opentelemetry.io/name=valkey-cart
