NAME                               READY   STATUS    RESTARTS   AGE   IP            NODE                          NOMINATED NODE   READINESS GATES
accounting-5dc867c55b-7dbr7        1/1     Running   0          16h   10.0.10.152   ip-10-0-10-17.ec2.internal    <none>           <none>
ad-6595659799-l75zg                1/1     Running   0          16h   10.0.10.240   ip-10-0-10-17.ec2.internal    <none>           <none>
cart-558f8ddccd-hc77v              1/1     Running   0          11h   10.0.10.217   ip-10-0-10-231.ec2.internal   <none>           <none>
cart-558f8ddccd-n75m4              1/1     Running   0          11h   10.0.10.207   ip-10-0-10-231.ec2.internal   <none>           <none>
checkout-7c9cc66579-48h6f          1/1     Running   0          11h   10.0.10.230   ip-10-0-10-231.ec2.internal   <none>           <none>
checkout-7c9cc66579-dhbsx          1/1     Running   0          11h   10.0.10.165   ip-10-0-10-231.ec2.internal   <none>           <none>
currency-f586fcb4-ftbxg            1/1     Running   0          16h   10.0.10.197   ip-10-0-10-17.ec2.internal    <none>           <none>
currency-f586fcb4-r5vdb            1/1     Running   0          11h   10.0.10.40    ip-10-0-10-231.ec2.internal   <none>           <none>
email-7fb5949f98-77q8r             1/1     Running   0          16h   10.0.11.32    ip-10-0-11-40.ec2.internal    <none>           <none>
flagd-86bd5f8d76-7bzbg             1/1     Running   0          11h   10.0.10.196   ip-10-0-10-231.ec2.internal   <none>           <none>
fraud-detection-548484897-tjbw4    1/1     Running   0          16h   10.0.10.137   ip-10-0-10-17.ec2.internal    <none>           <none>
frontend-b86b99679-4jgcp           1/1     Running   0          11h   10.0.10.141   ip-10-0-10-231.ec2.internal   <none>           <none>
frontend-b86b99679-mt5mg           1/1     Running   0          11h   10.0.10.213   ip-10-0-10-17.ec2.internal    <none>           <none>
frontend-proxy-bf5c65b9-8mvgb      1/1     Running   0          11h   10.0.10.241   ip-10-0-10-17.ec2.internal    <none>           <none>
frontend-proxy-bf5c65b9-bszvc      1/1     Running   0          11h   10.0.10.48    ip-10-0-10-231.ec2.internal   <none>           <none>
image-provider-c85cf9d65-qp9rv     1/1     Running   0          16h   10.0.10.77    ip-10-0-10-17.ec2.internal    <none>           <none>
kafka-6f9ff79c54-qf976             1/1     Running   0          16h   10.0.10.13    ip-10-0-10-231.ec2.internal   <none>           <none>
llm-6c96948c64-kqdpd               1/1     Running   0          11h   10.0.10.27    ip-10-0-10-231.ec2.internal   <none>           <none>
load-generator-7dbc8d784-gsmdf     1/1     Running   0          16h   10.0.10.194   ip-10-0-10-17.ec2.internal    <none>           <none>
payment-55bb959685-fxmd7           1/1     Running   0          11h   10.0.10.98    ip-10-0-10-231.ec2.internal   <none>           <none>
payment-55bb959685-jtlsp           1/1     Running   0          11h   10.0.10.47    ip-10-0-10-17.ec2.internal    <none>           <none>
postgresql-5b49658ddf-wbjjv        1/1     Running   0          16h   10.0.10.242   ip-10-0-10-17.ec2.internal    <none>           <none>
product-catalog-748d99d999-jjcfn   1/1     Running   0          11h   10.0.10.219   ip-10-0-10-231.ec2.internal   <none>           <none>
product-catalog-748d99d999-tdm2b   1/1     Running   0          11h   10.0.10.220   ip-10-0-10-231.ec2.internal   <none>           <none>
product-reviews-5f8bbdbfc7-jrnx8   1/1     Running   0          11h   10.0.10.179   ip-10-0-10-231.ec2.internal   <none>           <none>
quote-dfd7f7bb7-bml7r              1/1     Running   0          11h   10.0.10.176   ip-10-0-10-17.ec2.internal    <none>           <none>
quote-dfd7f7bb7-fbq6z              1/1     Running   0          12h   10.0.10.23    ip-10-0-10-231.ec2.internal   <none>           <none>
recommendation-78948dd47d-6ldkw    1/1     Running   0          11h   10.0.10.183   ip-10-0-10-231.ec2.internal   <none>           <none>
shipping-7b7cd9484f-wlxl2          1/1     Running   0          11h   10.0.10.21    ip-10-0-10-17.ec2.internal    <none>           <none>
shipping-7b7cd9484f-zwgmm          1/1     Running   0          10h   10.0.10.87    ip-10-0-10-231.ec2.internal   <none>           <none>
valkey-cart-dd686478b-txjjb        1/1     Running   0          16h   10.0.10.65    ip-10-0-10-17.ec2.internal    <none>           <none>
