NAME                               READY   STATUS    RESTARTS       AGE     IP            NODE                          NOMINATED NODE   READINESS GATES
accounting-7764bd96d6-cpx9d        1/1     Running   0              145m    10.0.10.9     ip-10-0-10-19.ec2.internal    <none>           <none>
ad-86fdbbcfb-nqw5g                 1/1     Running   0              3d7h    10.0.10.174   ip-10-0-10-19.ec2.internal    <none>           <none>
cart-6c7785fd7-pb9qg               1/1     Running   7 (133m ago)   165m    10.0.10.23    ip-10-0-10-231.ec2.internal   <none>           <none>
cart-6c7785fd7-x6j94               1/1     Running   0              65m     10.0.11.34    ip-10-0-11-217.ec2.internal   <none>           <none>
checkout-6bfcbcdb7d-4btms          1/1     Running   0              5h32m   10.0.11.69    ip-10-0-11-40.ec2.internal    <none>           <none>
checkout-6bfcbcdb7d-dglc8          1/1     Running   0              5h32m   10.0.10.13    ip-10-0-10-231.ec2.internal   <none>           <none>
currency-858bcdfbc6-pq4rb          1/1     Running   0              19h     10.0.10.16    ip-10-0-10-231.ec2.internal   <none>           <none>
currency-858bcdfbc6-t2425          1/1     Running   0              19h     10.0.10.11    ip-10-0-10-19.ec2.internal    <none>           <none>
email-75b98f9c95-2hncr             1/1     Running   0              3d7h    10.0.10.32    ip-10-0-10-19.ec2.internal    <none>           <none>
flagd-5f4cd77867-b675f             1/1     Running   0              5d17h   10.0.10.165   ip-10-0-10-231.ec2.internal   <none>           <none>
fraud-detection-6dd8d7d6d5-nx97c   1/1     Running   0              145m    10.0.10.130   ip-10-0-10-19.ec2.internal    <none>           <none>
frontend-794fd8b649-g2lh9          1/1     Running   0              46h     10.0.11.165   ip-10-0-11-217.ec2.internal   <none>           <none>
frontend-794fd8b649-j89qq          1/1     Running   0              46h     10.0.11.78    ip-10-0-11-40.ec2.internal    <none>           <none>
frontend-proxy-7cb47cc985-mljdw    1/1     Running   0              46h     10.0.10.37    ip-10-0-10-19.ec2.internal    <none>           <none>
frontend-proxy-7cb47cc985-vllf4    1/1     Running   0              46h     10.0.11.176   ip-10-0-11-217.ec2.internal   <none>           <none>
image-provider-859d68d958-j9kzg    1/1     Running   0              5d23h   10.0.10.217   ip-10-0-10-231.ec2.internal   <none>           <none>
llm-6698f99997-ntfgj               1/1     Running   0              5d17h   10.0.10.219   ip-10-0-10-231.ec2.internal   <none>           <none>
load-generator-784b6dbd54-sttnp    1/1     Running   0              20h     10.0.11.232   ip-10-0-11-40.ec2.internal    <none>           <none>
payment-957ddd7b9-fbqw7            1/1     Running   0              46h     10.0.10.7     ip-10-0-10-19.ec2.internal    <none>           <none>
payment-957ddd7b9-hqzzb            1/1     Running   0              46h     10.0.11.75    ip-10-0-11-40.ec2.internal    <none>           <none>
product-catalog-6df64bb84b-c28mn   1/1     Running   0              20h     10.0.10.252   ip-10-0-10-231.ec2.internal   <none>           <none>
product-catalog-6df64bb84b-qqhdw   1/1     Running   0              20h     10.0.10.10    ip-10-0-10-19.ec2.internal    <none>           <none>
product-reviews-55d6f9d9d6-l4sts   1/1     Running   0              20h     10.0.10.128   ip-10-0-10-231.ec2.internal   <none>           <none>
quote-5868dd4598-2v9c6             1/1     Running   0              18h     10.0.10.27    ip-10-0-10-231.ec2.internal   <none>           <none>
quote-5868dd4598-wv8t8             1/1     Running   0              18h     10.0.10.117   ip-10-0-10-19.ec2.internal    <none>           <none>
recommendation-658c65fbc9-4sqwp    1/1     Running   0              3d7h    10.0.10.114   ip-10-0-10-19.ec2.internal    <none>           <none>
shipping-68fbb5bd5b-b4cg2          1/1     Running   0              21h     10.0.10.73    ip-10-0-10-19.ec2.internal    <none>           <none>
shipping-68fbb5bd5b-bh7k7          1/1     Running   0              21h     10.0.10.98    ip-10-0-10-231.ec2.internal   <none>           <none>
