Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,104,0,27,39.259403014931685,11.529268929734826,350.86510598193854,11376.538461538461,3.7085118416700875,0.0,29,36,41,44,83,110,110,230,350,350,350
GET,/api/cart,24,0,11,25.600205806161586,7.215985911898315,182.89773201104254,24.0,0.8558104250007894,0.0,11,15,25,35,54,80,180,180,180,180,180
POST,/api/cart,41,0,14,23.410947030841758,9.299955097958446,150.73859598487616,113.70731707317073,1.4620094760430151,0.0,14,16,18,24,42,75,150,150,150,150,150
POST,/api/checkout,16,0,54,73.89603120100219,43.69897302240133,196.62769697606564,1568.625,0.5705402833338596,0.0,56,69,93,93,130,200,200,200,200,200,200
GET,/api/data/,4,0,15,24.529248534236103,14.086220995523036,44.35664298944175,206.75,0.1426350708334649,0.0,25,25,44,44,44,44,44,44,44,44,44
GET,/api/data/?contextKeys=accessories,4,0,15,20.25077398866415,14.011278981342912,33.26470998581499,303.0,0.1426350708334649,0.0,19,19,33,33,33,33,33,33,33,33,33
GET,/api/data/?contextKeys=binoculars,4,0,13,34.49801876558922,11.610190034843981,95.69780598394573,83.0,0.1426350708334649,0.0,18,18,96,96,96,96,96,96,96,96,96
GET,/api/data/?contextKeys=books,3,0,13.127467012964189,46.95265662545959,13.127467012964189,114.49760396499187,212.0,0.10697630312509868,0.0,13,13,110,110,110,110,110,110,110,110,110
GET,/api/data/?contextKeys=telescopes,7,0,26,77.86654597813529,14.009219012223184,330.9106489177793,106.0,0.24961137395856356,0.0,26,29,110,110,330,330,330,330,330,330,330
GET,/api/data/?contextKeys=travel,3,0,19,42.93839000941565,13.62009800504893,95.70243500638753,129.0,0.10697630312509868,0.0,19,19,96,96,96,96,96,96,96,96,96
POST,/api/product-ask-ai-assistant/0PUK6V6EV0,2,0,1600,1597.3935494548641,1578.0413289321586,1616.7457699775696,489.0,0.07131753541673246,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
POST,/api/product-ask-ai-assistant/1YMWWN1N4O,1,0,2294.1040419973433,2294.1040419973433,2294.1040419973433,2294.1040419973433,892.0,0.03565876770836623,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
POST,/api/product-ask-ai-assistant/2ZYFJ3GM2N,1,0,2005.0955269252881,2005.0955269252881,2005.0955269252881,2005.0955269252881,592.0,0.03565876770836623,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
POST,/api/product-ask-ai-assistant/66VCHSJNUP,1,0,1815.758123062551,1815.758123062551,1815.758123062551,1815.758123062551,414.0,0.03565876770836623,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
