Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/recommendations?productIds=0PUK6V6EV0,HTTPError('503 Server Error: Service Unavailable for url: /api/recommendations?productIds=0PUK6V6EV0'),1,2026-07-15T11:15:28Z,2026-07-15T11:15:28Z
GET,/api/recommendations?productIds=9SIQT8TOJO,HTTPError('504 Server Error: Gateway Timeout for url: /api/recommendations?productIds=9SIQT8TOJO'),15,2026-07-15T11:08:51Z,2026-07-15T11:11:03Z
GET,/api/products/OLJCESPC7Z,HTTPError('503 Server Error: Service Unavailable for url: /api/products/OLJCESPC7Z'),1,2026-07-15T11:12:01Z,2026-07-15T11:12:01Z
GET,/api/recommendations?productIds=2ZYFJ3GM2N,HTTPError('500 Server Error: Internal Server Error for url: /api/recommendations?productIds=2ZYFJ3GM2N'),9,2026-07-15T11:08:50Z,2026-07-15T11:09:47Z
GET,/api/product-reviews/OLJCESPC7Z,HTTPError('500 Server Error: Internal Server Error for url: /api/product-reviews/OLJCESPC7Z'),12,2026-07-15T11:08:52Z,2026-07-15T11:09:55Z
GET,/api/recommendations?productIds=0PUK6V6EV0,HTTPError('500 Server Error: Internal Server Error for url: /api/recommendations?productIds=0PUK6V6EV0'),9,2026-07-15T11:08:53Z,2026-07-15T11:11:05Z
POST,/api/product-ask-ai-assistant/0PUK6V6EV0,HTTPError('500 Server Error: Internal Server Error for url: /api/product-ask-ai-assistant/0PUK6V6EV0'),3,2026-07-15T11:09:04Z,2026-07-15T11:09:48Z
GET,/api/products/HQTGWGPNH4,HTTPError('504 Server Error: Gateway Timeout for url: /api/products/HQTGWGPNH4'),9,2026-07-15T11:10:05Z,2026-07-15T11:11:42Z
POST,/api/product-ask-ai-assistant/6E92ZMYYFZ,HTTPError('500 Server Error: Internal Server Error for url: /api/product-ask-ai-assistant/6E92ZMYYFZ'),5,2026-07-15T11:08:52Z,2026-07-15T11:09:39Z
GET,/api/data/?contextKeys=telescopes,HTTPError('503 Server Error: Service Unavailable for url: /api/data/?contextKeys=telescopes'),2,2026-07-15T11:06:31Z,2026-07-15T11:15:28Z
GET,/api/product-reviews/9SIQT8TOJO,HTTPError('500 Server Error: Internal Server Error for url: /api/product-reviews/9SIQT8TOJO'),5,2026-07-15T11:08:53Z,2026-07-15T11:10:04Z
GET,/api/product-reviews/1YMWWN1N4O,HTTPError('500 Server Error: Internal Server Error for url: /api/product-reviews/1YMWWN1N4O'),3,2026-07-15T11:09:04Z,2026-07-15T11:09:24Z
GET,/api/recommendations?productIds=6E92ZMYYFZ,HTTPError('500 Server Error: Internal Server Error for url: /api/recommendations?productIds=6E92ZMYYFZ'),10,2026-07-15T11:09:14Z,2026-07-15T11:12:02Z
GET,/api/product-reviews/6E92ZMYYFZ,HTTPError('500 Server Error: Internal Server Error for url: /api/product-reviews/6E92ZMYYFZ'),6,2026-07-15T11:08:53Z,2026-07-15T11:10:05Z
POST,/api/product-ask-ai-assistant/L9ECAV7KIM,HTTPError('500 Server Error: Internal Server Error for url: /api/product-ask-ai-assistant/L9ECAV7KIM'),3,2026-07-15T11:09:01Z,2026-07-15T11:09:45Z
GET,/api/data/,HTTPError('500 Server Error: Internal Server Error for url: /api/data/'),3,2026-07-15T10:56:11Z,2026-07-15T10:56:41Z
GET,/api/products/1YMWWN1N4O,HTTPError('500 Server Error: Internal Server Error for url: /api/products/1YMWWN1N4O'),4,2026-07-15T11:08:19Z,2026-07-15T11:09:44Z
GET,/api/product-reviews/L9ECAV7KIM,HTTPError('500 Server Error: Internal Server Error for url: /api/product-reviews/L9ECAV7KIM'),9,2026-07-15T11:08:53Z,2026-07-15T11:09:56Z
GET,/api/recommendations?productIds=LS4PSXUNUM,HTTPError('504 Server Error: Gateway Timeout for url: /api/recommendations?productIds=LS4PSXUNUM'),14,2026-07-15T11:08:39Z,2026-07-15T11:11:00Z
