Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1131,1,47,155.96172773651696,10.357913000007102,3375.4201709999734,11342.709991158266,0.7936796476755019,0.00070175035161406,47,100,160,210,480,690,900,1000,3000,3400,3400
GET,/api/cart,2636,148,28,887.7124697678344,6.579274999921836,16273.167705999982,24.03679817905918,1.8498139268546623,0.10385905203888088,28,90,180,260,690,7500,15000,15000,16000,16000,16000
POST,/api/cart,5224,273,34,871.9050480252699,8.972671000037735,15918.864900000017,113.65926493108729,3.6659438368318495,0.19157784599063837,34,65,110,150,470,9100,15000,15000,15000,16000,16000
POST,/api/checkout,1713,191,240,1570.2384104279074,34.14122000003772,15643.55693399989,1493.144191476941,1.2020983523148847,0.13403431715828545,240,420,630,810,4200,15000,15000,15000,16000,16000,16000
GET,/api/data,3,3,2300,2318.670169333321,1628.7005709999676,3064.9888709999686,0.0,0.00210525105484218,0.00210525105484218,2300,2300,3100,3100,3100,3100,3100,3100,3100,3100,3100
GET,/api/data/,349,3,41,276.7462253925515,10.157279000168273,4976.146925999956,201.89111747851004,0.24491087271330694,0.00210525105484218,41,110,220,320,900,1500,1700,2300,5000,5000,5000
GET,/api/data/?contextKeys=accessories,358,3,45,310.4261856843517,9.94109499993101,6367.250947000002,300.6368715083799,0.2512266258778335,0.00210525105484218,45,170,290,490,870,1500,1600,3500,6400,6400,6400
GET,/api/data/?contextKeys=assembly,379,3,36,269.02529301319873,10.14589800001886,4764.32563100002,88.46174142480211,0.26596338326172875,0.00210525105484218,36,86,210,340,750,1600,1900,3100,4800,4800,4800
GET,/api/data/?contextKeys=binoculars,387,4,46,324.83731090439414,10.359113000049547,5936.127617000011,82.35917312661499,0.2715773860746412,0.00280700140645624,46,140,300,440,990,1600,2200,3000,5900,5900,5900
GET,/api/data/?contextKeys=books,352,2,43,296.5240346136334,10.896922000029008,6963.63189300007,200.6193181818182,0.24701612376814913,0.00140350070322812,43,130,250,450,930,1500,1700,2600,7000,7000,7000
GET,/api/data/?contextKeys=telescopes,356,3,45,289.3010061095512,10.05016599992814,5864.754771000094,105.6994382022472,0.24982312517460536,0.00210525105484218,45,120,240,320,770,1500,2400,3400,5900,5900,5900
