NAME                               READY   STATUS             RESTARTS   AGE     IP            NODE                          NOMINATED NODE   READINESS GATES
accounting-86d7d45954-f8h62        1/1     Running            0          48m     10.0.10.150   ip-10-0-10-8.ec2.internal     <none>           <none>
ad-5cd9f9f988-gcv9c                1/1     Running            0          48m     10.0.10.58    ip-10-0-10-8.ec2.internal     <none>           <none>
cart-54885469b4-k5tkz              1/1     Running            0          48m     10.0.10.239   ip-10-0-10-8.ec2.internal     <none>           <none>
cart-54885469b4-tvvhh              1/1     Running            0          48m     10.0.10.76    ip-10-0-10-8.ec2.internal     <none>           <none>
cart-678c76475f-5qdjq              1/1     Running            0          3h15m   10.0.11.4     ip-10-0-11-40.ec2.internal    <none>           <none>
cart-678c76475f-9zj9w              1/1     Running            0          139m    10.0.11.71    ip-10-0-11-37.ec2.internal    <none>           <none>
checkout-5cbc55bc95-q2zns          1/1     Running            0          48m     10.0.10.199   ip-10-0-10-8.ec2.internal     <none>           <none>
checkout-5cbc55bc95-w57zx          1/1     Running            0          48m     10.0.10.134   ip-10-0-10-8.ec2.internal     <none>           <none>
checkout-758545d7b6-s4nlj          1/1     Running            0          20m     10.0.11.54    ip-10-0-11-40.ec2.internal    <none>           <none>
checkout-758545d7b6-w92ch          1/1     Running            0          20m     10.0.11.230   ip-10-0-11-37.ec2.internal    <none>           <none>
currency-64b4bcdf57-5nxg2          1/1     Running            0          48m     10.0.10.11    ip-10-0-10-8.ec2.internal     <none>           <none>
currency-64b4bcdf57-9llbv          1/1     Running            0          47m     10.0.11.69    ip-10-0-11-40.ec2.internal    <none>           <none>
email-64f848bbdb-t2dfk             1/1     Running            0          48m     10.0.10.205   ip-10-0-10-8.ec2.internal     <none>           <none>
flagd-857b4ff57c-8vn8p             1/1     Running            0          48m     10.0.10.232   ip-10-0-10-8.ec2.internal     <none>           <none>
fraud-detection-76ff95d65f-xqjk2   1/1     Running            0          48m     10.0.10.188   ip-10-0-10-8.ec2.internal     <none>           <none>
frontend-84665977f4-72hpq          1/1     Running            0          48m     10.0.10.177   ip-10-0-10-8.ec2.internal     <none>           <none>
frontend-84665977f4-fnvmw          1/1     Running            0          15m     10.0.11.229   ip-10-0-11-37.ec2.internal    <none>           <none>
frontend-84665977f4-jk47x          1/1     Running            0          15m     10.0.10.13    ip-10-0-10-231.ec2.internal   <none>           <none>
frontend-proxy-7b7d89964f-vcbl8    1/1     Running            0          147m    10.0.10.183   ip-10-0-10-231.ec2.internal   <none>           <none>
image-provider-69478d5888-gj2kl    1/1     Running            0          48m     10.0.10.36    ip-10-0-10-8.ec2.internal     <none>           <none>
llm-6f965d794-7lkql                1/1     Running            0          8h      10.0.10.172   ip-10-0-10-231.ec2.internal   <none>           <none>
load-generator-5c78686b94-xqdgf    1/1     Running            0          48m     10.0.10.71    ip-10-0-10-8.ec2.internal     <none>           <none>
payment-65694fd75f-cjvrr           1/1     Running            0          147m    10.0.10.210   ip-10-0-10-231.ec2.internal   <none>           <none>
product-catalog-6d98d587c-2mggt    1/1     Running            0          147m    10.0.10.179   ip-10-0-10-231.ec2.internal   <none>           <none>
product-catalog-6d98d587c-mjhqr    1/1     Running            0          171m    10.0.11.238   ip-10-0-11-40.ec2.internal    <none>           <none>
product-reviews-7cdc4ff979-8rx9b   1/1     Running            0          8h      10.0.10.185   ip-10-0-10-231.ec2.internal   <none>           <none>
quote-646856b67c-kkjgk             1/1     Running            0          147m    10.0.11.249   ip-10-0-11-40.ec2.internal    <none>           <none>
recommendation-594bb85854-mkhr7    0/1     ImagePullBackOff   0          147m    10.0.11.75    ip-10-0-11-40.ec2.internal    <none>           <none>
shipping-759cd5f66c-hlfg7          1/1     Running            0          171m    10.0.11.176   ip-10-0-11-217.ec2.internal   <none>           <none>
