Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/recommendations?productIds=0PUK6V6EV0,HTTPError('503 Server Error: Service Unavailable for url: /api/recommendations?productIds=0PUK6V6EV0'),1,2026-07-24T02:53:03Z,2026-07-24T02:53:03Z
GET,/api/products/66VCHSJNUP,HTTPError('503 Server Error: Service Unavailable for url: /api/products/66VCHSJNUP'),2,2026-07-24T02:53:03Z,2026-07-24T03:04:23Z
POST,/api/cart,HTTPError('503 Server Error: Service Unavailable for url: /api/cart'),26,2026-07-24T02:21:08Z,2026-07-24T03:07:59Z
GET,/api/data/?contextKeys=assembly,HTTPError('503 Server Error: Service Unavailable for url: /api/data/?contextKeys=assembly'),4,2026-07-24T02:30:50Z,2026-07-24T03:06:23Z
GET,/api/product-reviews/HQTGWGPNH4,HTTPError('503 Server Error: Service Unavailable for url: /api/product-reviews/HQTGWGPNH4'),1,2026-07-24T03:03:52Z,2026-07-24T03:03:52Z
GET,/api/products/OLJCESPC7Z,HTTPError('503 Server Error: Service Unavailable for url: /api/products/OLJCESPC7Z'),7,2026-07-24T02:29:26Z,2026-07-24T03:05:32Z
GET,/api/recommendations?productIds=9SIQT8TOJO,HTTPError('503 Server Error: Service Unavailable for url: /api/recommendations?productIds=9SIQT8TOJO'),1,2026-07-24T02:32:58Z,2026-07-24T02:32:58Z
GET,/api/products/LS4PSXUNUM,HTTPError('503 Server Error: Service Unavailable for url: /api/products/LS4PSXUNUM'),5,2026-07-24T02:30:58Z,2026-07-24T03:00:24Z
GET,/api/data/?contextKeys=telescopes,HTTPError('503 Server Error: Service Unavailable for url: /api/data/?contextKeys=telescopes'),1,2026-07-24T02:37:29Z,2026-07-24T02:37:29Z
GET,/api/products/HQTGWGPNH4,HTTPError('503 Server Error: Service Unavailable for url: /api/products/HQTGWGPNH4'),8,2026-07-24T02:27:24Z,2026-07-24T03:07:00Z
GET,/api/recommendations?productIds=OLJCESPC7Z,HTTPError('503 Server Error: Service Unavailable for url: /api/recommendations?productIds=OLJCESPC7Z'),1,2026-07-24T02:49:02Z,2026-07-24T02:49:02Z
POST,/api/product-ask-ai-assistant/0PUK6V6EV0,HTTPError('503 Server Error: Service Unavailable for url: /api/product-ask-ai-assistant/0PUK6V6EV0'),1,2026-07-24T02:31:20Z,2026-07-24T02:31:20Z
GET,/api/data/?contextKeys=books,HTTPError('503 Server Error: Service Unavailable for url: /api/data/?contextKeys=books'),3,2026-07-24T02:56:07Z,2026-07-24T03:01:08Z
GET,/api/product-reviews/1YMWWN1N4O,HTTPError('503 Server Error: Service Unavailable for url: /api/product-reviews/1YMWWN1N4O'),1,2026-07-24T02:55:41Z,2026-07-24T02:55:41Z
GET,/api/data/?contextKeys=travel,HTTPError('503 Server Error: Service Unavailable for url: /api/data/?contextKeys=travel'),1,2026-07-24T03:07:12Z,2026-07-24T03:07:12Z
