Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,7051,16,660,838.556264512943,11.68754999525845,6132.855969015509,11761.14948234293,2.440685507469131,0.005538358831301389,660,1100,1400,1600,2000,2300,2700,3000,3700,6100,6100
GET,/api/cart,8614,22,560,776.5574914604953,8.319515036419034,6774.538514902815,24.181332714186208,2.9817139358018854,0.00761524339303941,560,1000,1300,1500,1900,2300,2800,3000,4000,6800,6800
POST,/api/cart,30028,26,430,767.5231790448528,10.184297105297446,6898.026935057715,118.36742373784467,10.39411493664488,0.008999833100864756,430,980,1300,1500,2000,2400,2900,3100,3800,6500,6900
POST,/api/checkout,10805,88,990,1178.0276531388718,35.73061991482973,5801.209266996011,712.8324849606663,3.740122948263219,0.03046097357215764,990,1500,1800,2000,2500,3000,3600,3900,5300,5700,5800
GET,/api/data/,555,3,770,1070.1223904623541,12.267888989299536,5560.018073068932,197.0792792792793,0.19211182196076693,0.0010384422808690104,770,1400,1700,1900,2700,3200,4100,4200,5600,5600,5600
GET,/api/data/?contextKeys=accessories,608,1,790,1068.7142728941246,10.998382000252604,6385.654524900019,286.8157894736842,0.21045763558945277,0.0003461474269563368,790,1400,1800,1900,2600,3100,3700,4300,6400,6400,6400
GET,/api/data/?contextKeys=assembly,581,4,940,1108.5914836422237,12.108059832826257,6648.8893129862845,87.54388984509467,0.20111165506163167,0.0013845897078253473,940,1500,1700,1900,2600,3100,3700,4400,6600,6600,6600
GET,/api/data/?contextKeys=binoculars,584,2,800,1089.9337825049608,11.99366501532495,5603.637096006423,80.54452054794521,0.2021500973425007,0.0006922948539126736,810,1400,1700,2000,2700,3300,4000,4800,5600,5600,5600
GET,/api/data/?contextKeys=books,641,3,760,1040.667893383187,12.136172037571669,7077.621774049476,192.52730109204367,0.22188050067901188,0.0010384422808690104,760,1400,1700,2000,2600,3000,3800,4000,7100,7100,7100
GET,/api/data/?contextKeys=telescopes,597,1,970,1182.6306777133434,11.929902015253901,5944.442142965272,100.05862646566165,0.20665001389293308,0.0003461474269563368,970,1500,1900,2100,2700,3200,4200,4800,5900,5900,5900
GET,/api/data/?contextKeys=travel,585,1,770,1041.3258833185826,10.883016977459192,8007.73791084066,123.73162393162393,0.20249624476945705,0.0003461474269563368,770,1300,1600,1900,2500,3100,3900,4400,8000,8000,8000
POST,/api/product-ask-ai-assistant/0PUK6V6EV0,695,1,1100,2020.985337994028,17.546549206599593,12229.38540019095,131.94676258992806,0.24057246173465408,0.0003461474269563368,1100,1600,1900,2300,8300,9400,10000,11000,12000,12000,12000
POST,/api/product-ask-ai-assistant/1YMWWN1N4O,715,1,1100,2068.5586769879515,16.79064007475972,11570.88261609897,131.94825174825175,0.24749541027378083,0.0003461474269563368,1100,1600,2000,2500,8600,9400,10000,10000,12000,12000,12000
POST,/api/product-ask-ai-assistant/2ZYFJ3GM2N,706,1,1000,1920.8739985399893,5.758567014709115,12387.809189967811,131.94759206798867,0.2443800834311738,0.0003461474269563368,1000,1600,2000,2300,8100,9100,10000,10000,12000,12000,12000
POST,/api/product-ask-ai-assistant/66VCHSJNUP,700,0,1200,2059.3486359150015,17.135356087237597,11223.649834049866,132.0,0.24230319886943577,0.0,1200,1700,2000,2200,8400,9400,10000,11000,11000,11000,11000
POST,/api/product-ask-ai-assistant/6E92ZMYYFZ,677,3,1100,2005.9476831733239,17.244647024199367,11413.419985910878,131.83604135893648,0.23434180804944002,0.0010384422808690104,1100,1600,1900,2200,8500,9300,10000,11000,11000,11000,11000
