Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/products/66VCHSJNUP,HTTPError('503 Server Error: Service Unavailable for url: /api/products/66VCHSJNUP'),8,2026-07-24T04:22:44Z,2026-07-24T04:56:32Z
GET,/api/product-reviews/0PUK6V6EV0,HTTPError('503 Server Error: Service Unavailable for url: /api/product-reviews/0PUK6V6EV0'),1,2026-07-24T04:41:23Z,2026-07-24T04:41:23Z
POST,/api/cart,HTTPError('503 Server Error: Service Unavailable for url: /api/cart'),44,2026-07-24T04:16:58Z,2026-07-24T04:58:35Z
GET,/api/data/?contextKeys=assembly,HTTPError('503 Server Error: Service Unavailable for url: /api/data/?contextKeys=assembly'),2,2026-07-24T04:36:55Z,2026-07-24T04:57:12Z
GET,/api/products/OLJCESPC7Z,HTTPError('503 Server Error: Service Unavailable for url: /api/products/OLJCESPC7Z'),4,2026-07-24T04:43:56Z,2026-07-24T04:58:35Z
POST,/api/product-ask-ai-assistant/66VCHSJNUP,HTTPError('503 Server Error: Service Unavailable for url: /api/product-ask-ai-assistant/66VCHSJNUP'),1,2026-07-24T04:18:12Z,2026-07-24T04:18:12Z
GET,/api/recommendations?productIds=9SIQT8TOJO,HTTPError('503 Server Error: Service Unavailable for url: /api/recommendations?productIds=9SIQT8TOJO'),1,2026-07-24T04:31:31Z,2026-07-24T04:31:31Z
GET,/api/products/LS4PSXUNUM,HTTPError('503 Server Error: Service Unavailable for url: /api/products/LS4PSXUNUM'),4,2026-07-24T04:22:38Z,2026-07-24T04:50:38Z
GET,/api/data/?contextKeys=telescopes,HTTPError('503 Server Error: Service Unavailable for url: /api/data/?contextKeys=telescopes'),4,2026-07-24T04:39:00Z,2026-07-24T04:52:31Z
GET,/api/products/HQTGWGPNH4,HTTPError('503 Server Error: Service Unavailable for url: /api/products/HQTGWGPNH4'),4,2026-07-24T04:26:16Z,2026-07-24T04:57:09Z
POST,/api/product-ask-ai-assistant/HQTGWGPNH4,HTTPError('503 Server Error: Service Unavailable for url: /api/product-ask-ai-assistant/HQTGWGPNH4'),3,2026-07-24T04:25:59Z,2026-07-24T04:36:15Z
GET,/api/data/?contextKeys=books,HTTPError('503 Server Error: Service Unavailable for url: /api/data/?contextKeys=books'),2,2026-07-24T04:36:14Z,2026-07-24T04:36:15Z
GET,/api/data/?contextKeys=travel,HTTPError('503 Server Error: Service Unavailable for url: /api/data/?contextKeys=travel'),2,2026-07-24T04:35:12Z,2026-07-24T04:54:16Z
GET,/api/product-reviews/66VCHSJNUP,HTTPError('503 Server Error: Service Unavailable for url: /api/product-reviews/66VCHSJNUP'),1,2026-07-24T04:22:26Z,2026-07-24T04:22:26Z
GET,/api/recommendations?productIds=L9ECAV7KIM,HTTPError('503 Server Error: Service Unavailable for url: /api/recommendations?productIds=L9ECAV7KIM'),2,2026-07-24T04:31:54Z,2026-07-24T04:37:25Z
