Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3894,1,17,55.452958590702146,3.079648013226688,797.6525080157444,11346.493579866461,0.48155047982668103,0.00012366473544598897,17,23,33,49,130,310,470,520,690,800,800
GET,/api/cart,10918,0,10,44.099535649055646,5.54428796749562,998.8000299781561,24.0,1.3501715815993076,0.0,10,13,17,24,94,290,470,500,750,930,1000
POST,/api/cart,21505,0,14,29.804435556603327,8.53744603227824,998.3770760009065,118.51141594977912,2.6594101357659925,0.0,14,18,22,26,58,99,190,320,570,900,1000
POST,/api/checkout,7095,0,80,143.78411194307623,34.048427012749016,1756.4156969310716,1676.7138830162087,0.8774012979892917,0.0,80,120,160,200,330,500,660,820,1300,1800,1800
GET,/api/data/,1500,0,14,54.81858099321835,9.102139039896429,990.4435419011861,202.91933333333333,0.18549710316898346,0.0,14,18,24,33,130,330,510,580,810,990,990
GET,/api/data/?contextKeys=accessories,1535,1,14,54.317498962388825,9.090153966099024,887.1832060394809,302.8644951140065,0.18982536890959306,0.00012366473544598897,14,18,22,31,120,330,510,600,860,890,890
GET,/api/data/?contextKeys=assembly,1482,0,14,56.438632430015424,8.88235098682344,1235.9618680784479,89.0,0.18327113793095565,0.0,14,18,24,34,140,350,520,570,1000,1200,1200
GET,/api/data/?contextKeys=binoculars,1567,0,14,55.87428384622465,8.809327031485736,800.5130649544299,83.0,0.1937826404438647,0.0,14,18,24,35,140,370,510,560,730,800,800
GET,/api/data/?contextKeys=books,1550,0,14,57.261154603273155,8.713008952327073,1324.710538960062,202.15290322580645,0.1916803399412829,0.0,14,18,24,34,150,360,520,550,960,1300,1300
GET,/api/data/?contextKeys=telescopes,1516,0,14,54.31766867914697,8.969631046056747,909.4187780283391,106.0,0.18747573893611927,0.0,14,18,24,34,130,320,520,560,880,910,910
GET,/api/data/?contextKeys=travel,1494,0,14,62.75887932876808,9.06944996677339,1098.570249043405,129.0,0.18475511475630751,0.0,14,19,27,40,160,450,520,580,980,1100,1100
POST,/api/product-ask-ai-assistant/0PUK6V6EV0,325,0,640,971.3242859841109,35.894575994461775,2762.2492200462148,318.7723076923077,0.04019103901994642,0.0,640,1600,1700,1700,1900,2100,2200,2400,2800,2800,2800
POST,/api/product-ask-ai-assistant/1YMWWN1N4O,382,0,600,1116.9472930249538,34.02119199745357,3798.8530269358307,367.73560209424085,0.047239928940367784,0.0,600,1900,2000,2000,2200,2400,2600,2900,3800,3800,3800
POST,/api/product-ask-ai-assistant/2ZYFJ3GM2N,332,0,640,988.9886883986519,36.113370093517005,2717.7735960576683,312.31024096385545,0.041056692168068336,0.0,640,1700,1800,1800,1900,2000,2300,2500,2700,2700,2700
POST,/api/product-ask-ai-assistant/66VCHSJNUP,343,0,720,1046.336228234297,36.21372301131487,2912.8398729953915,261.8075801749271,0.04241700425797421,0.0,720,1700,1700,1800,2000,2200,2300,2500,2900,2900,2900
POST,/api/product-ask-ai-assistant/6E92ZMYYFZ,393,0,670,1035.3599312485956,34.8106570309028,4617.414516978897,281.2442748091603,0.04860024103027366,0.0,670,1700,1700,1800,1900,2100,2400,2700,4600,4600,4600
POST,/api/product-ask-ai-assistant/9SIQT8TOJO,334,0,660,1150.1741171594915,35.402258043177426,3667.240257957019,424.0179640718563,0.04130402163896031,0.0,670,2000,2200,2200,2400,2600,2700,3000,3700,3700,3700
POST,/api/product-ask-ai-assistant/HQTGWGPNH4,313,0,670,916.3709755469197,33.5681060096249,2650.62923298683,229.6038338658147,0.03870706219459455,0.0,670,1500,1600,1600,1700,1900,2100,2400,2700,2700,2700
POST,/api/product-ask-ai-assistant/L9ECAV7KIM,349,0,660,997.2226567196801,35.747508984059095,3105.929638026282,257.3925501432665,0.04315899267065015,0.0,660,1600,1700,1700,1900,2100,2400,2500,3100,3100,3100
POST,/api/product-ask-ai-assistant/LS4PSXUNUM,312,0,710,977.3152370781202,33.88035797979683,3085.9455289319158,253.10256410256412,0.03858339745914856,0.0,710,1600,1700,1700,1900,2200,2400,2400,3100,3100,3100
POST,/api/product-ask-ai-assistant/OLJCESPC7Z,365,0,640,1103.793477805408,33.554469933733344,2923.835681984201,388.3095890410959,0.04513762843778597,0.0,640,2000,2000,2100,2200,2400,2600,2700,2900,2900,2900
GET,/api/product-reviews/0PUK6V6EV0,713,0,52,143.36100762672748,27.988470974378288,1068.0001999717206,988.0,0.08817295637299014,0.0,52,110,170,240,410,560,710,800,1100,1100,1100
GET,/api/product-reviews/1YMWWN1N4O,710,0,47,128.13915668668645,28.03538099396974,1060.8934630872682,1023.0,0.08780196216665216,0.0,47,86,140,200,380,480,600,790,1100,1100,1100
GET,/api/product-reviews/2ZYFJ3GM2N,683,0,51,137.29605599054943,27.973721968010068,1083.8614359963685,999.0,0.08446301430961047,0.0,51,110,160,210,380,520,670,880,1100,1100,1100
GET,/api/product-reviews/66VCHSJNUP,702,0,47,129.42930118315468,28.111886931583285,926.354113034904,997.0,0.08681264428308426,0.0,47,94,150,210,370,500,620,760,930,930,930
GET,/api/product-reviews/6E92ZMYYFZ,661,0,50,138.30812147458516,28.490304946899414,1053.6740419920534,1026.0,0.08174239012979871,0.0,50,99,160,230,430,530,660,730,1100,1100,1100
GET,/api/product-reviews/9SIQT8TOJO,736,0,55,138.49326420250176,28.212097939103842,1274.1712119895965,1010.0,0.09101724528824788,0.0,55,95,150,210,390,520,780,850,1300,1300,1300
GET,/api/product-reviews/HQTGWGPNH4,732,0,46,134.21645693406538,28.267033980228007,1194.315874017775,1031.0,0.09052258634646393,0.0,46,93,140,200,380,560,750,850,1200,1200,1200
GET,/api/product-reviews/L9ECAV7KIM,675,0,48,138.37814778917365,28.188962023705244,1065.610463032499,943.0,0.08347369642604255,0.0,48,95,150,220,420,560,720,850,1100,1100,1100
GET,/api/product-reviews/LS4PSXUNUM,732,0,44,127.32887223520052,28.236313024535775,909.2533260118216,1010.0,0.09052258634646393,0.0,44,90,140,190,380,490,640,770,910,910,910
GET,/api/product-reviews/OLJCESPC7Z,700,0,45,130.95617111406423,27.727987035177648,1072.5729359546676,1015.0,0.08656531481219228,0.0,45,87,130,180,350,560,770,890,1100,1100,1100
GET,/api/products/0PUK6V6EV0,5771,0,11,44.97431835909752,6.893867044709623,910.5639149202034,421.0,0.7136691882588023,0.0,11,14,19,30,100,290,460,490,700,910,910
GET,/api/products/1YMWWN1N4O,5586,0,11,46.429510510725336,6.877498002722859,900.2004259964451,888.0,0.6907912122012944,0.0,11,14,20,33,100,290,470,510,700,900,900
GET,/api/products/2ZYFJ3GM2N,5770,1,11,43.97355858995168,6.659233942627907,1039.1861139796674,555.9201039861351,0.7135455235233563,0.00012366473544598897,11,13,18,27,93,280,440,500,720,1000,1000
GET,/api/products/66VCHSJNUP,5753,0,11,44.99625613938518,6.762298988178372,1001.0077259503305,494.0,0.7114432230207746,0.0,11,14,19,27,97,280,460,500,740,1000,1000
GET,/api/products/6E92ZMYYFZ,5736,0,11,44.40485008200241,6.845997064374387,983.764034928754,475.0,0.7093409225181927,0.0,11,14,19,29,97,270,460,500,700,980,980
GET,/api/products/9SIQT8TOJO,5881,1,11,45.63728384770196,6.448147003538907,1007.4891090625897,777.8838632885563,0.7272723091578611,0.00012366473544598897,11,14,20,31,100,280,460,500,710,1000,1000
GET,/api/products/HQTGWGPNH4,5701,0,11,44.53786436242189,6.857804022729397,959.212236921303,739.0,0.7050126567775831,0.0,11,14,18,28,98,280,460,490,630,960,960
GET,/api/products/L9ECAV7KIM,5817,0,11,44.806376582138704,6.091248942539096,795.2826999826357,735.0,0.7193577660893178,0.0,11,14,18,29,94,290,470,500,660,800,800
GET,/api/products/LS4PSXUNUM,5710,0,11,45.72276691655382,6.6586320754140615,885.1736970245838,529.0,0.706125639396597,0.0,11,14,19,30,100,290,460,510,700,890,890
GET,/api/products/OLJCESPC7Z,5695,0,11,45.03691422418201,6.758665083907545,967.4453729530796,506.0,0.7042706683649071,0.0,11,14,19,30,95,280,460,500,690,970,970
GET,/api/recommendations?productIds=0PUK6V6EV0,1055,0,45,115.92027988545243,25.53136891219765,1152.7896439656615,2535.181990521327,0.13046629589551836,0.0,45,72,130,170,300,470,630,740,950,1200,1200
GET,/api/recommendations?productIds=1YMWWN1N4O,1063,0,44,115.31887242486411,26.03141695726663,1117.3360249958932,2322.4760112888052,0.13145561377908627,0.0,44,65,110,150,320,500,670,740,1000,1100,1100
GET,/api/recommendations?productIds=2ZYFJ3GM2N,1062,0,45,112.13136935828467,25.314789963886142,1077.5585180381313,2477.3088512241056,0.1313319490436403,0.0,45,68,110,160,300,460,600,700,1000,1100,1100
GET,/api/recommendations?productIds=66VCHSJNUP,1069,0,44,115.48790991229203,25.256993947550654,1082.1750350296497,2503.759588400374,0.13219760219176221,0.0,44,74,120,160,320,470,640,720,1000,1100,1100
GET,/api/recommendations?productIds=6E92ZMYYFZ,1066,0,45,121.18691911972888,24.781187996268272,1032.3613409418613,2512.1651031894935,0.13182660798542423,0.0,45,81,120,160,340,500,660,740,990,1000,1000
GET,/api/recommendations?productIds=9SIQT8TOJO,1007,0,44,115.3727898335125,23.811861989088356,1311.225033015944,2377.293942403178,0.12453038859411089,0.0,44,72,120,160,300,480,680,800,1100,1300,1300
GET,/api/recommendations?productIds=HQTGWGPNH4,1028,0,44,119.57983525061313,25.142680970020592,1266.754019074142,2398.0515564202333,0.12712734803847667,0.0,44,75,130,170,350,500,620,680,910,1300,1300
GET,/api/recommendations?productIds=L9ECAV7KIM,1084,0,44,116.8288482860851,25.51652304828167,1200.550577021204,2394.737084870849,0.13405257322345204,0.0,44,72,120,160,330,490,620,790,1000,1200,1200
GET,/api/recommendations?productIds=LS4PSXUNUM,1044,0,43,109.99618913626863,26.024541934020817,1092.0636049704626,2500.817049808429,0.12910598380561247,0.0,43,69,120,150,280,450,620,730,1100,1100,1100
GET,/api/recommendations?productIds=OLJCESPC7Z,1006,0,44,120.70649587995952,25.68347007036209,965.6493379734457,2499.2813121272366,0.1244067238586649,0.0,44,70,120,170,360,520,660,750,960,970,970
,Aggregated,132452,4,15,85.13658014100618,3.079648013226688,4617.414516978897,978.2752091323649,16.37964153929213,0.0004946589417839559,15,32,48,71,210,420,610,1600,2300,2900,4600
