NAME                               CPU(cores)   MEMORY(bytes)   
accounting-fc474d896-6zh7d         13m          133Mi           
ad-86fdbbcfb-pq5vh                 5m           234Mi           
cart-665f556d44-hqsrm              54m          52Mi            
cart-665f556d44-wr7v6              6m           65Mi            
checkout-68f6488757-kfvtx          2m           13Mi            
checkout-68f6488757-lc5sv          24m          13Mi            
currency-74dc659445-8xxw2          13m          28Mi            
currency-74dc659445-gn7rc          2m           43Mi            
email-75b98f9c95-dqlv2             18m          56Mi            
flagd-5f4cd77867-b675f             10m          42Mi            
fraud-detection-665f45b679-jfkmj   6m           235Mi           
frontend-7ff4667fc6-6g5wh          59m          98Mi            
frontend-7ff4667fc6-cpxz6          108m         108Mi           
frontend-7ff4667fc6-mxjfj          183m         93Mi            
frontend-proxy-79658b874b-dsjhj    27m          33Mi            
frontend-proxy-79658b874b-s6r82    27m          34Mi            
image-provider-859d68d958-j9kzg    1m           6Mi             
kafka-575c57b489-ts9pp             14m          607Mi           
llm-6698f99997-ntfgj               15m          70Mi            
load-generator-869776c88-2xvkt     219m         106Mi           
payment-6d47766ff6-9vbr9           9m           111Mi           
payment-6d47766ff6-fb5rb           17m          110Mi           
postgresql-7b6b8fdc66-v269v        106m         128Mi           
product-catalog-78b9958b94-p4mn7   26m          13Mi            
product-catalog-78b9958b94-zrdr5   45m          14Mi            
product-reviews-5498f47dc8-v2h4k   175m         73Mi            
quote-7875fd4b58-2mhbv             6m           19Mi            
quote-7875fd4b58-9tm4h             4m           19Mi            
recommendation-658c65fbc9-dlhqj    46m          48Mi            
shipping-7dbd9d698d-w2wh2          1m           4Mi             
shipping-7dbd9d698d-x7lws          4m           4Mi             
valkey-cart-64779877c-5fmtj        7m           5Mi             
