Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2700,8,97,607.2493721499901,11.551224859431386,7300.97436811775,11756.09037037037,1.468895201828899,0.0043522820794930335,98,510,1000,1300,1800,2400,3100,3600,5400,7300,7300
GET,/api/cart,2825,9,26,520.1825686932368,8.366171037778258,4687.716212123632,24.226194690265487,1.5368996093209777,0.004896317339429663,26,350,880,1100,1800,2200,2900,3500,4200,4700,4700
POST,/api/cart,9485,3,53,588.3971158905042,10.672742035239935,6443.781984969974,118.09794412229837,5.1601744404989285,0.0016321057798098877,53,540,1100,1300,1900,2400,3100,3500,4400,6400,6400
POST,/api/checkout,3342,7,150,890.1501222330946,34.73074990324676,7970.621139043942,716.631657690006,1.818165838708215,0.0038082468195564045,150,1000,1600,1900,2700,3400,4000,4200,6000,8000,8000
GET,/api/data/,184,0,38,826.3201517769156,11.519083054736257,7915.858747903258,193.1086956521739,0.10010248782833978,0.0,39,850,1500,1700,2500,3100,4800,5900,7900,7900,7900
GET,/api/data/?contextKeys=accessories,202,0,48,851.8619740769119,11.485265102237463,5524.6809758245945,295.5495049504951,0.1098951225071991,0.0,49,770,1400,2000,2900,3500,4300,4500,5500,5500,5500
GET,/api/data/?contextKeys=assembly,216,0,32,866.7160068666649,11.231000069528818,6169.679697137326,86.58333333333333,0.11751161614631192,0.0,32,520,1400,1800,3300,4000,4600,5000,6200,6200,6200
GET,/api/data/?contextKeys=binoculars,197,0,45,861.8938381663112,11.769004166126251,6089.419713942334,81.76649746192894,0.10717494620751596,0.0,45,850,1400,1700,3000,3900,4600,4800,6100,6100,6100
GET,/api/data/?contextKeys=books,193,0,51,902.3246411403034,11.66256400756538,6256.792827975005,186.3782383419689,0.10499880516776944,0.0,51,1000,1600,2100,2700,3700,4200,5400,6300,6300,6300
GET,/api/data/?contextKeys=telescopes,229,0,33,859.6375326424691,11.623017024248838,6520.229269983247,102.82096069868996,0.1245840745254881,0.0,33,840,1500,1900,2700,4100,4700,5600,6500,6500,6500
GET,/api/data/?contextKeys=travel,196,0,39,796.3393469048873,12.254356173798442,5047.895186813548,124.46428571428571,0.10663091094757933,0.0,41,460,1300,1900,3000,3600,4500,4700,5000,5000,5000
POST,/api/product-ask-ai-assistant/0PUK6V6EV0,251,0,390,1882.2300111656023,17.684056889265776,11530.125753954053,132.0,0.13655285024409394,0.0,390,1600,2200,2500,8100,8200,10000,11000,12000,12000,12000
POST,/api/product-ask-ai-assistant/1YMWWN1N4O,227,1,700,2269.1235771343227,17.491305014118552,13775.322095956653,131.83700440528634,0.12349600400561483,0.0005440352599366292,700,2000,2400,3400,8100,9600,10000,10000,14000,14000,14000
POST,/api/product-ask-ai-assistant/2ZYFJ3GM2N,193,1,210,1784.0910996189775,18.597838934510946,11392.649247078225,131.8082901554404,0.10499880516776944,0.0005440352599366292,210,1200,1800,2300,8000,8200,10000,11000,11000,11000,11000
POST,/api/product-ask-ai-assistant/66VCHSJNUP,236,1,590,2156.7433820297483,19.281036918982863,13798.70441998355,131.84322033898306,0.1283923213450445,0.0005440352599366292,610,1700,2300,3000,8000,8800,10000,11000,14000,14000,14000
POST,/api/product-ask-ai-assistant/6E92ZMYYFZ,205,2,200,1746.416686394638,18.255207920446992,13685.819566017017,131.6390243902439,0.11152722828700899,0.0010880705198732584,200,1300,1800,2200,8000,8100,9900,10000,14000,14000,14000
POST,/api/product-ask-ai-assistant/9SIQT8TOJO,222,0,440,1941.8122349873286,18.305130070075393,10560.47934293747,132.0,0.12077582770593169,0.0,460,1400,1900,2800,8000,8100,9700,10000,11000,11000,11000
POST,/api/product-ask-ai-assistant/HQTGWGPNH4,227,0,190,1707.6816792509596,17.222301103174686,10740.336111979559,132.0,0.12349600400561483,0.0,190,1100,1700,2200,8000,8100,9600,10000,11000,11000,11000
POST,/api/product-ask-ai-assistant/L9ECAV7KIM,229,0,170,1612.9910844819433,18.336560809984803,10204.303574049845,132.0,0.1245840745254881,0.0,170,1400,1900,2400,8000,8100,9500,10000,10000,10000,10000
POST,/api/product-ask-ai-assistant/LS4PSXUNUM,232,0,180,2127.075544179112,17.726575024425983,13157.37777389586,132.0,0.126216180305298,0.0,180,1500,2100,2700,8100,9300,11000,12000,13000,13000,13000
POST,/api/product-ask-ai-assistant/OLJCESPC7Z,214,0,160,1611.3295850635584,19.938829820603132,12701.388707151636,132.0,0.11642354562643865,0.0,190,1000,1900,2400,8000,8300,9700,10000,13000,13000,13000
GET,/api/product-reviews/0PUK6V6EV0,144,0,83,583.4283453958859,12.285859091207385,3682.9002120066434,988.0,0.07834107743087461,0.0,100,590,1100,1300,1900,2300,2700,2900,3700,3700,3700
GET,/api/product-reviews/1YMWWN1N4O,127,0,29,586.3276272938829,11.989798862487078,4248.311124043539,1023.0,0.06909247801195191,0.0,29,590,1200,1400,1800,2100,2800,2800,4200,4200,4200
GET,/api/product-reviews/2ZYFJ3GM2N,145,0,73,656.5296295050789,12.218425050377846,4424.99742587097,999.0,0.07888511269081123,0.0,73,720,1300,1400,2000,2500,3400,4300,4400,4400,4400
