Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,720,0,72,167.44047793067188,12.78242500120541,1170.387510996079,11792.555555555555,2.400488420681915,0.0,73,130,210,260,520,700,820,990,1200,1200,1200
GET,/api/cart,713,0,31,129.8808383590049,10.162296995986253,1124.3206559956889,24.0,2.377150338814174,0.0,31,86,140,180,440,630,760,930,1100,1100,1100
POST,/api/cart,2556,0,46,113.76983885368735,13.344787003006786,1285.2105209967704,118.18818466353677,8.521733893420798,0.0,46,97,130,180,300,450,650,790,1200,1300,1300
POST,/api/checkout,912,0,140,209.9778941633463,43.30011799902422,1611.4006790012354,718.1831140350877,3.040618666197092,0.0,140,200,260,300,470,650,850,1000,1600,1600,1600
GET,/api/data/,56,0,29,157.60416846426648,15.006446999905165,833.7864889981574,196.33928571428572,0.1867046549419267,0.0,31,150,280,350,490,610,740,830,830,830,830
GET,/api/data/?contextKeys=accessories,54,0,82,219.6970088329248,17.666933999862522,1287.8728070063516,303.0,0.1800366315511436,0.0,85,170,310,370,610,880,940,1300,1300,1300,1300
GET,/api/data/?contextKeys=assembly,53,0,41,154.6924378686389,12.699397004325874,739.6551179990638,89.0,0.17670261985575206,0.0,41,95,160,270,550,710,740,740,740,740,740
GET,/api/data/?contextKeys=binoculars,50,0,26,135.76599663923844,15.894853997451719,1133.215982998081,83.0,0.16670058476957741,0.0,29,76,140,220,330,720,1100,1100,1100,1100,1100
GET,/api/data/?contextKeys=books,57,0,110,218.26851812332742,14.718838996486738,854.2043139968882,203.47368421052633,0.19003866663731825,0.0,110,210,300,480,720,800,840,850,850,850,850
GET,/api/data/?contextKeys=telescopes,57,0,60,223.88060433290218,13.789303004159592,1019.7859980034991,106.0,0.19003866663731825,0.0,60,230,360,430,670,990,990,1000,1000,1000,1000
GET,/api/data/?contextKeys=travel,44,0,35,144.15633979545171,13.654348003910854,828.537891000451,129.0,0.14669651459722813,0.0,37,95,180,220,370,760,830,830,830,830,830
POST,/api/product-ask-ai-assistant/0PUK6V6EV0,72,0,350,1407.8140578191476,49.37954799970612,13475.277834004373,132.0,0.2400488420681915,0.0,380,540,850,980,6000,8800,9400,13000,13000,13000,13000
POST,/api/product-ask-ai-assistant/1YMWWN1N4O,42,0,300,795.5296930239932,52.032752995728515,9385.693789998186,132.0,0.14002849120644503,0.0,300,470,530,550,1200,2800,9400,9400,9400,9400,9400
POST,/api/product-ask-ai-assistant/2ZYFJ3GM2N,73,0,470,1363.3484066440485,54.55835100292461,8795.72555199411,132.0,0.24338285376358304,0.0,470,710,930,1000,4600,8300,8700,8800,8800,8800,8800
POST,/api/product-ask-ai-assistant/66VCHSJNUP,57,0,320,1254.6808599648086,55.70496400468983,9562.194696998631,132.0,0.19003866663731825,0.0,320,650,970,1800,3400,8100,9500,9600,9600,9600,9600
POST,/api/product-ask-ai-assistant/6E92ZMYYFZ,44,0,410,1514.6211669770391,55.46596300700912,14085.126845006016,132.0,0.14669651459722813,0.0,430,710,860,1100,3700,8700,14000,14000,14000,14000,14000
POST,/api/product-ask-ai-assistant/9SIQT8TOJO,65,0,330,1112.411474507826,51.185529002395924,14565.927437004575,132.0,0.21671076020045063,0.0,330,610,800,1000,1600,8400,9300,15000,15000,15000,15000
POST,/api/product-ask-ai-assistant/HQTGWGPNH4,68,0,270,1725.739703161654,51.180706002924126,14762.770816996635,132.0,0.22671279528662527,0.0,270,680,950,1200,8300,9100,9500,15000,15000,15000,15000
POST,/api/product-ask-ai-assistant/L9ECAV7KIM,62,0,470,1423.1327584034702,53.71226999704959,13437.41408400092,132.0,0.206708725114276,0.0,520,680,830,1100,5500,8200,8800,13000,13000,13000,13000
POST,/api/product-ask-ai-assistant/LS4PSXUNUM,48,0,280,1507.7502777709622,60.462143999757245,9399.165666000044,132.0,0.16003256137879432,0.0,350,700,1100,2000,5500,8600,9400,9400,9400,9400,9400
POST,/api/product-ask-ai-assistant/OLJCESPC7Z,69,0,340,887.2862720284805,52.758687001187354,8366.250222003146,132.0,0.23004680698201685,0.0,340,580,700,840,1400,5200,8300,8400,8400,8400,8400
GET,/api/product-reviews/0PUK6V6EV0,38,0,180,570.5516257635041,49.5538109971676,5304.884522003704,988.0,0.12669244442487884,0.0,250,470,720,810,1300,2800,5300,5300,5300,5300,5300
GET,/api/product-reviews/1YMWWN1N4O,25,0,130,515.5667573999381,50.806815997930244,4704.02407200163,1023.0,0.08335029238478871,0.0,130,280,390,1000,1300,1400,4700,4700,4700,4700,4700
GET,/api/product-reviews/2ZYFJ3GM2N,35,0,340,482.3044284851806,54.23947899544146,1577.0231310016243,999.0,0.1166904093387042,0.0,340,490,720,880,1200,1300,1600,1600,1600,1600,1600
GET,/api/product-reviews/66VCHSJNUP,36,0,120,385.8088987500297,53.14001499937149,1620.7809879997512,997.0,0.12002442103409575,0.0,170,340,540,730,1100,1600,1600,1600,1600,1600,1600
GET,/api/product-reviews/6E92ZMYYFZ,33,0,450,766.4989629997625,47.738462999404874,3618.5620320029557,1026.0,0.11002238594792109,0.0,450,800,1200,1300,2000,3400,3600,3600,3600,3600,3600
GET,/api/product-reviews/9SIQT8TOJO,37,0,200,451.0199324872087,44.271102000493556,4164.214588003233,1010.0,0.1233584327294873,0.0,200,440,640,660,910,1300,4200,4200,4200,4200,4200
GET,/api/product-reviews/HQTGWGPNH4,29,0,200,561.0107267589071,48.90140800125664,4463.162501000625,1031.0,0.0966863391663549,0.0,200,430,750,1000,1400,1700,4500,4500,4500,4500,4500
GET,/api/product-reviews/L9ECAV7KIM,44,0,160,408.1110661131375,46.80584500601981,4963.170244001958,943.0,0.14669651459722813,0.0,160,380,450,520,700,1100,5000,5000,5000,5000,5000
GET,/api/product-reviews/LS4PSXUNUM,29,0,290,544.9237909310011,53.402901001391,3278.0081999953836,1010.0,0.0966863391663549,0.0,290,510,580,740,1500,2100,3300,3300,3300,3300,3300
GET,/api/product-reviews/OLJCESPC7Z,24,0,170,580.5786801244418,54.57876099535497,3762.2640799963847,1015.0,0.08001628068939716,0.0,180,400,620,810,1100,3200,3800,3800,3800,3800,3800
GET,/api/products/0PUK6V6EV0,364,0,42,128.00722439295407,11.265871005889494,901.9956940028351,421.0,1.2135802571225236,0.0,44,87,130,180,440,630,720,830,900,900,900
GET,/api/products/1YMWWN1N4O,301,0,41,143.07136469775602,11.380900999938603,970.8499550033594,888.0,1.003537520312856,0.0,41,98,190,230,520,620,740,900,970,970,970
GET,/api/products/2ZYFJ3GM2N,341,0,37,127.86105723749974,10.931224998785183,1140.0865329997032,556.0,1.136897988128518,0.0,37,77,120,170,360,630,850,1100,1100,1100,1100
GET,/api/products/66VCHSJNUP,350,0,35,121.28505395180711,10.727081993536558,997.9198990040459,494.0,1.1669040933870418,0.0,35,85,120,170,330,610,770,850,1000,1000,1000
GET,/api/products/6E92ZMYYFZ,329,0,56,157.8217867111791,10.669373004930094,1005.2422519947868,475.0,1.0968898477838194,0.0,56,130,200,270,560,650,800,820,1000,1000,1000
GET,/api/products/9SIQT8TOJO,316,0,37,135.5676018764929,10.909435994108208,1276.7451009931392,778.0,1.0535476957437293,0.0,37,90,130,160,410,730,890,1100,1300,1300,1300
GET,/api/products/HQTGWGPNH4,337,0,46,131.46433967661537,10.687779998988844,1111.0737630006042,739.0,1.1235619413469518,0.0,46,92,140,190,410,660,780,820,1100,1100,1100
GET,/api/products/L9ECAV7KIM,309,0,36,137.321409362091,11.017916003766004,971.504631001153,735.0,1.0302096138759884,0.0,36,87,160,210,510,660,740,820,970,970,970
GET,/api/products/LS4PSXUNUM,308,0,48,174.4582180095653,11.094458001025487,1189.9101829985739,529.0,1.026875602180597,0.0,48,100,200,270,610,780,970,1000,1200,1200,1200
GET,/api/products/OLJCESPC7Z,344,1,37,144.51685537798852,10.996584001986776,1017.6426950056339,504.80523255813955,1.1469000232146926,0.003334011695391548,38,100,160,210,510,670,850,870,1000,1000,1000
GET,/api/products?currencyCode=USD,498,0,37,171.86745278320222,11.125718003313523,1512.660460997722,6132.0,1.660337824304991,0.0,38,110,190,280,610,750,960,1100,1500,1500,1500
GET,/api/recommendations?productIds=0PUK6V6EV0,44,0,80,280.269527249402,41.13483399851248,1652.9634859980433,2516.340909090909,0.14669651459722813,0.0,85,230,430,500,850,1100,1700,1700,1700,1700,1700
GET,/api/recommendations?productIds=1YMWWN1N4O,60,0,76,245.79798854950545,41.33029600052396,1202.3968920038897,2331.883333333333,0.2000407017234929,0.0,85,190,400,460,730,1000,1100,1200,1200,1200,1200
