Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/recommendations?productIds=0PUK6V6EV0,HTTPError('503 Server Error: Service Unavailable for url: /api/recommendations?productIds=0PUK6V6EV0'),1,2026-07-23T00:06:31Z,2026-07-23T00:06:31Z
POST,/api/product-ask-ai-assistant/9SIQT8TOJO,HTTPError('504 Server Error: Gateway Timeout for url: /api/product-ask-ai-assistant/9SIQT8TOJO'),2,2026-07-23T00:09:28Z,2026-07-23T00:09:28Z
POST,/api/cart,HTTPError('503 Server Error: Service Unavailable for url: /api/cart'),4,2026-07-23T00:07:37Z,2026-07-23T00:08:53Z
GET,/api/recommendations?productIds=0PUK6V6EV0,HTTPError('500 Server Error: Internal Server Error for url: /api/recommendations?productIds=0PUK6V6EV0'),1,2026-07-23T00:09:46Z,2026-07-23T00:09:46Z
GET,/api/products/LS4PSXUNUM,HTTPError('503 Server Error: Service Unavailable for url: /api/products/LS4PSXUNUM'),1,2026-07-23T00:06:54Z,2026-07-23T00:06:54Z
GET,/api/product-reviews/6E92ZMYYFZ,HTTPError('500 Server Error: Internal Server Error for url: /api/product-reviews/6E92ZMYYFZ'),1,2026-07-23T00:09:47Z,2026-07-23T00:09:47Z
GET,/api/products/1YMWWN1N4O,HTTPError('500 Server Error: Internal Server Error for url: /api/products/1YMWWN1N4O'),1,2026-07-23T00:09:50Z,2026-07-23T00:09:50Z
GET,/api/products/HQTGWGPNH4,HTTPError('503 Server Error: Service Unavailable for url: /api/products/HQTGWGPNH4'),3,2026-07-23T00:06:31Z,2026-07-23T00:07:48Z
POST,/api/product-ask-ai-assistant/HQTGWGPNH4,HTTPError('503 Server Error: Service Unavailable for url: /api/product-ask-ai-assistant/HQTGWGPNH4'),1,2026-07-23T00:08:53Z,2026-07-23T00:08:53Z
GET,/api/recommendations?productIds=1YMWWN1N4O,HTTPError('500 Server Error: Internal Server Error for url: /api/recommendations?productIds=1YMWWN1N4O'),1,2026-07-23T00:09:47Z,2026-07-23T00:09:47Z
GET,/api/data/?contextKeys=books,HTTPError('503 Server Error: Service Unavailable for url: /api/data/?contextKeys=books'),1,2026-07-23T00:08:45Z,2026-07-23T00:08:45Z
GET,/api/recommendations?productIds=LS4PSXUNUM,HTTPError('500 Server Error: Internal Server Error for url: /api/recommendations?productIds=LS4PSXUNUM'),1,2026-07-23T00:09:49Z,2026-07-23T00:09:49Z
GET,/api/products/HQTGWGPNH4,HTTPError('500 Server Error: Internal Server Error for url: /api/products/HQTGWGPNH4'),2,2026-07-23T00:09:49Z,2026-07-23T00:09:50Z
GET,/api/products/0PUK6V6EV0,HTTPError('500 Server Error: Internal Server Error for url: /api/products/0PUK6V6EV0'),1,2026-07-23T00:09:50Z,2026-07-23T00:09:50Z
GET,/api/recommendations?productIds=L9ECAV7KIM,HTTPError('503 Server Error: Service Unavailable for url: /api/recommendations?productIds=L9ECAV7KIM'),1,2026-07-23T00:06:31Z,2026-07-23T00:06:31Z
GET,/api/recommendations?productIds=9SIQT8TOJO,HTTPError('500 Server Error: Internal Server Error for url: /api/recommendations?productIds=9SIQT8TOJO'),1,2026-07-23T00:09:47Z,2026-07-23T00:09:47Z
GET,/api/products/9SIQT8TOJO,HTTPError('500 Server Error: Internal Server Error for url: /api/products/9SIQT8TOJO'),2,2026-07-23T00:09:49Z,2026-07-23T00:09:49Z
POST,/api/product-ask-ai-assistant/6E92ZMYYFZ,HTTPError('503 Server Error: Service Unavailable for url: /api/product-ask-ai-assistant/6E92ZMYYFZ'),1,2026-07-23T00:06:31Z,2026-07-23T00:06:31Z
GET,/api/products/9SIQT8TOJO,HTTPError('503 Server Error: Service Unavailable for url: /api/products/9SIQT8TOJO'),1,2026-07-23T00:07:48Z,2026-07-23T00:07:48Z
GET,/,HTTPError('503 Server Error: Service Unavailable for url: /'),3,2026-07-23T00:06:30Z,2026-07-23T00:09:57Z
GET,/api/products/2ZYFJ3GM2N,HTTPError('500 Server Error: Internal Server Error for url: /api/products/2ZYFJ3GM2N'),1,2026-07-23T00:09:50Z,2026-07-23T00:09:50Z
GET,/api/products/L9ECAV7KIM,HTTPError('500 Server Error: Internal Server Error for url: /api/products/L9ECAV7KIM'),1,2026-07-23T00:09:47Z,2026-07-23T00:09:47Z
GET,/api/products/LS4PSXUNUM,HTTPError('500 Server Error: Internal Server Error for url: /api/products/LS4PSXUNUM'),1,2026-07-23T00:09:49Z,2026-07-23T00:09:49Z
POST,/api/product-ask-ai-assistant/2ZYFJ3GM2N,HTTPError('503 Server Error: Service Unavailable for url: /api/product-ask-ai-assistant/2ZYFJ3GM2N'),1,2026-07-23T00:06:31Z,2026-07-23T00:06:31Z
GET,/api/products?currencyCode=USD,HTTPError('500 Server Error: Internal Server Error for url: /api/products?currencyCode=USD'),1,2026-07-23T00:09:49Z,2026-07-23T00:09:49Z
GET,/api/products/2ZYFJ3GM2N,HTTPError('503 Server Error: Service Unavailable for url: /api/products/2ZYFJ3GM2N'),1,2026-07-23T00:06:31Z,2026-07-23T00:06:31Z
GET,/api/products/0PUK6V6EV0,HTTPError('503 Server Error: Service Unavailable for url: /api/products/0PUK6V6EV0'),2,2026-07-23T00:07:48Z,2026-07-23T00:08:18Z
GET,/api/product-reviews/2ZYFJ3GM2N,HTTPError('500 Server Error: Internal Server Error for url: /api/product-reviews/2ZYFJ3GM2N'),1,2026-07-23T00:09:47Z,2026-07-23T00:09:47Z
POST,/api/product-ask-ai-assistant/1YMWWN1N4O,HTTPError('504 Server Error: Gateway Timeout for url: /api/product-ask-ai-assistant/1YMWWN1N4O'),1,2026-07-23T00:09:28Z,2026-07-23T00:09:28Z
GET,/api/products?currencyCode=USD,HTTPError('503 Server Error: Service Unavailable for url: /api/products?currencyCode=USD'),1,2026-07-23T00:09:56Z,2026-07-23T00:09:56Z
GET,/api/cart,HTTPError('503 Server Error: Service Unavailable for url: /api/cart'),2,2026-07-23T00:06:31Z,2026-07-23T00:06:54Z
GET,/api/products/OLJCESPC7Z,HTTPError('500 Server Error: Internal Server Error for url: /api/products/OLJCESPC7Z'),2,2026-07-23T00:09:47Z,2026-07-23T00:09:50Z
GET,/api/product-reviews/LS4PSXUNUM,HTTPError('500 Server Error: Internal Server Error for url: /api/product-reviews/LS4PSXUNUM'),1,2026-07-23T00:09:46Z,2026-07-23T00:09:46Z
GET,/api/product-reviews/OLJCESPC7Z,HTTPError('503 Server Error: Service Unavailable for url: /api/product-reviews/OLJCESPC7Z'),1,2026-07-23T00:06:31Z,2026-07-23T00:06:31Z
POST,/api/product-ask-ai-assistant/6E92ZMYYFZ,HTTPError('504 Server Error: Gateway Timeout for url: /api/product-ask-ai-assistant/6E92ZMYYFZ'),1,2026-07-23T00:09:26Z,2026-07-23T00:09:26Z
GET,/api/recommendations?productIds=HQTGWGPNH4,HTTPError('500 Server Error: Internal Server Error for url: /api/recommendations?productIds=HQTGWGPNH4'),1,2026-07-23T00:09:50Z,2026-07-23T00:09:50Z
GET,/api/recommendations?productIds=L9ECAV7KIM,HTTPError('500 Server Error: Internal Server Error for url: /api/recommendations?productIds=L9ECAV7KIM'),2,2026-07-23T00:09:47Z,2026-07-23T00:09:49Z
GET,/api/products/1YMWWN1N4O,HTTPError('503 Server Error: Service Unavailable for url: /api/products/1YMWWN1N4O'),2,2026-07-23T00:06:31Z,2026-07-23T00:06:31Z
POST,/api/checkout,HTTPError('500 Server Error: Internal Server Error for url: /api/checkout'),8,2026-07-23T00:07:40Z,2026-07-23T00:09:50Z
