NAMESPACE             NAME                                                     READY   STATUS    RESTARTS   AGE
kube-system           aws-node-9vbd5                                           2/2     Running   0          14d
kube-system           aws-node-zkdf4                                           2/2     Running   0          14d
kube-system           coredns-78f5f6975c-7g4n2                                 1/1     Running   0          14d
kube-system           coredns-78f5f6975c-lhd74                                 1/1     Running   0          14d
kube-system           kube-proxy-8xnbd                                         1/1     Running   0          14d
kube-system           kube-proxy-mcvg8                                         1/1     Running   0          14d
kube-system           karpenter-5d8f7bf85-l4n28                                1/1     Running   0          14d
techx-observability   grafana-787dfbf85d-mvg7f                                 1/1     Running   0          14d
techx-observability   opensearch-0                                             1/1     Running   0          14d
techx-observability   otel-collector-agent-7g8nd                               1/1     Running   0          14d
techx-observability   otel-collector-agent-zkdh9                               1/1     Running   0          14d
techx-observability   otel-collector-k8s-74b8fdfd5-m8dfd                       1/1     Running   0          14d
techx-observability   prometheus-server-79bd6bf84d-mvh6f                       1/1     Running   0          14d
techx-tf4             accounting-6696f5bdb8-7wvkg                              1/1     Running   0          4h53m
techx-tf4             ad-67488bccf4-kpwxw                                      1/1     Running   0          4h53m
techx-tf4             cart-766c6b8f5c-2f6lf                                    1/1     Running   0          4h53m
techx-tf4             cart-766c6b8f5c-r9svc                                    1/1     Running   0          4h53m
techx-tf4             checkout-54ff8fcc6c-dz7w4                                1/1     Running   0          4h53m
techx-tf4             currency-5cd5dd67f-kwcn7                                 1/1     Running   0          4h53m
techx-tf4             email-69dcc548bd-5g4p7                                   1/1     Running   0          4h53m
techx-tf4             flagd-64cd7974c8-dl9xp                                   1/1     Running   0          4h53m
techx-tf4             fraud-detection-5c5d9d899d-7z9qc                         1/1     Running   0          4h53m
techx-tf4             frontend-5c7f8786bf-dhncv                                1/1     Running   0          4h53m
techx-tf4             frontend-proxy-b5b74455c-8whz9                           1/1     Running   0          4h53m
techx-tf4             image-provider-798bdc847-mmfl8                           1/1     Running   0          4h53m
techx-tf4             llm-656b5488c6-6g74z                                     1/1     Running   0          4h53m
techx-tf4             load-generator-84fbd78b6c-xpgbr                          1/1     Running   0          4h53m
techx-tf4             payment-786ff75dc5-jdnrx                                 1/1     Running   0          4h53m
techx-tf4             product-catalog-5698b468f4-8q7q6                         1/1     Running   0          4h53m
techx-tf4             product-reviews-75fcd77f87-ftnc9                         1/1     Running   0          4h53m
techx-tf4             quote-67b85c794b-vfg7c                                   1/1     Running   0          4h53m
techx-tf4             recommendation-5d6b6f8648-7h974                          1/1     Running   0          4h53m
techx-tf4             shipping-969b87d57-vgblx                                 1/1     Running   0          4h53m
