Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,5215,21,1600,1677.0327193549394,13.089803999719152,8406.9339939997,11360.622243528283,2.331770070459957,0.009389678136080364,1600,2200,2500,2800,3400,4000,4700,5200,6300,8400,8400
GET,/api/cart,6091,38,1400,1479.9638462981306,9.454515000470565,9469.705876999797,24.442948612707273,2.723453786993595,0.01699084615100256,1400,1900,2200,2500,3200,3900,4700,5100,6200,9500,9500
POST,/api/cart,21380,39,1500,1563.3726959983628,11.700329000632337,8344.211043000541,118.39897100093545,9.559586597590389,0.017437973681292105,1500,2100,2500,2700,3400,4000,4600,5300,7300,8300,8300
POST,/api/checkout,7608,59,2000,2188.717764243293,39.495901999544,9022.354104999977,715.3176919032597,3.401746250442829,0.026380524287082926,2000,2900,3300,3600,4500,5300,6300,7100,8100,9000,9000
GET,/api/data/,432,7,1900,2192.445919810194,14.990824000051362,9269.878708999386,179.2314814814815,0.19315909308508175,0.003129892712026788,1900,2700,3200,3700,5000,6300,7300,8000,9300,9300,9300
GET,/api/data/?contextKeys=accessories,479,6,2100,2235.74088058246,15.76066899997386,9368.262619000234,254.52192066805844,0.2141740870086902,0.002682765181737247,2100,2900,3200,3500,4500,5400,7000,7700,9400,9400,9400
GET,/api/data/?contextKeys=assembly,441,3,2100,2287.6193412244925,14.588717000151519,10365.237179999895,78.19047619047619,0.19718324085768762,0.0013413825908686235,2100,2900,3400,3900,4900,5600,7100,7500,10000,10000,10000
GET,/api/data/?contextKeys=binoculars,467,3,2000,2255.817693567472,14.966065999942657,8977.025209000203,72.67023554603854,0.2088085566452157,0.0013413825908686235,2000,2800,3300,3600,5000,5700,6900,8500,9000,9000,9000
GET,/api/data/?contextKeys=books,414,3,2000,2303.7660610845533,14.339014000142924,11807.630365000477,173.76328502415458,0.18511079753987003,0.0013413825908686235,2000,2800,3300,3700,5000,6200,7600,8500,12000,12000,12000
GET,/api/data/?contextKeys=telescopes,453,5,2000,2254.0183313620278,16.21805100057827,9278.260508999665,93.71081677704194,0.20254877122116213,0.0022356376514477056,2000,2800,3300,3800,5000,5900,6900,7800,9300,9300,9300
GET,/api/data/?contextKeys=travel,420,3,2100,2325.4711753523825,16.139373000441992,11211.64850399964,114.54523809523809,0.18779356272160727,0.0013413825908686235,2100,2900,3400,3900,5000,6100,7100,8600,11000,11000,11000
POST,/api/product-ask-ai-assistant/0PUK6V6EV0,497,3,2200,2249.2695967183154,44.84734200013918,6746.939534000376,176.8148893360161,0.22222238255390195,0.0013413825908686235,2200,2700,3200,3400,4200,4900,5500,6000,6700,6700,6700
POST,/api/product-ask-ai-assistant/1YMWWN1N4O,513,1,2300,2395.0726479181294,47.21682599938504,7054.06803599999,206.26705653021443,0.2293764230385346,0.00044712753028954114,2300,3000,3300,3600,4500,5200,5900,6500,7100,7100,7100
POST,/api/product-ask-ai-assistant/2ZYFJ3GM2N,467,1,2200,2308.001818415454,43.7860649999493,8997.163508000085,195.65310492505353,0.2088085566452157,0.00044712753028954114,2200,2800,3200,3600,4400,5000,5400,6000,9000,9000,9000
POST,/api/product-ask-ai-assistant/66VCHSJNUP,505,3,2100,2204.6230923643625,46.0647110003265,6380.432666000161,157.59405940594058,0.22579940279621827,0.0013413825908686235,2100,2700,3000,3300,4200,5000,5700,5900,6400,6400,6400
POST,/api/product-ask-ai-assistant/6E92ZMYYFZ,538,0,2200,2269.297190039039,44.45690600005037,7075.771073000396,188.3364312267658,0.24055461129577313,0.0,2200,2800,3100,3400,4200,4900,5900,6400,7100,7100,7100
POST,/api/product-ask-ai-assistant/9SIQT8TOJO,510,2,2200,2329.230278815668,45.1898479996089,7043.1110600002285,232.91960784313724,0.22803504044766598,0.0008942550605790823,2200,2800,3300,3600,4400,5300,5900,6500,7000,7000,7000
POST,/api/product-ask-ai-assistant/HQTGWGPNH4,503,0,2100,2186.0154523459046,42.222158999720705,7107.494105999649,153.02186878727633,0.2249051477356392,0.0,2100,2600,3100,3300,4100,4600,5500,6100,7100,7100,7100
POST,/api/product-ask-ai-assistant/L9ECAV7KIM,494,1,2200,2369.9840530020188,45.42417199991178,8406.22791199985,164.17206477732793,0.22088099996303331,0.00044712753028954114,2200,2900,3200,3500,4400,5300,6000,6100,8400,8400,8400
POST,/api/product-ask-ai-assistant/LS4PSXUNUM,477,3,2100,2236.6427138281247,42.926363999868045,7477.744237000479,164.22222222222223,0.21327983194811112,0.0013413825908686235,2100,2800,3200,3500,4500,5000,5900,6500,7500,7500,7500
POST,/api/product-ask-ai-assistant/OLJCESPC7Z,518,4,2100,2167.7148417876224,42.53088499990554,7287.149165000301,216.21621621621622,0.2316120606899823,0.0017885101211581645,2100,2600,3000,3300,4100,4900,5900,6300,7300,7300,7300
GET,/api/product-reviews/0PUK6V6EV0,306,1,1800,1823.1148386993118,41.900158999851556,5907.924968999396,985.0816993464052,0.13682102426859957,0.00044712753028954114,1800,2300,2700,2900,3400,4000,4700,5100,5900,5900,5900
GET,/api/product-reviews/1YMWWN1N4O,319,1,1800,1919.6069077272577,38.4191599996484,6242.48052799976,1020.0909090909091,0.1426336821623636,0.00044712753028954114,1800,2400,2800,3000,3700,4700,5400,6200,6200,6200,6200
GET,/api/product-reviews/2ZYFJ3GM2N,318,2,1900,1965.1628311352238,37.09220099972299,9304.735026000344,993.3144654088051,0.14218655463207408,0.0008942550605790823,1900,2400,2900,3100,3900,4600,5700,6000,9300,9300,9300
GET,/api/product-reviews/66VCHSJNUP,281,0,1900,1869.9522731281013,38.31212899967795,7101.549076999618,997.0,0.12564283601136106,0.0,1900,2400,2700,2900,3400,3700,5000,5100,7100,7100,7100
GET,/api/product-reviews/6E92ZMYYFZ,285,2,2300,2256.3229400175383,39.28349400030129,7662.175985000431,1019.4666666666667,0.12743134613251922,0.0008942550605790823,2300,2900,3300,3600,4200,5100,5800,7000,7700,7700,7700
GET,/api/product-reviews/9SIQT8TOJO,270,0,1800,1870.3692632000007,41.164481999658165,6147.675567000078,1010.0,0.1207244331781761,0.0,1800,2400,2800,3000,3500,4000,4200,5100,6100,6100,6100
GET,/api/product-reviews/HQTGWGPNH4,255,2,2000,1949.6112155490334,24.431255000308738,6038.847669999996,1023.6588235294117,0.11401752022383299,0.0008942550605790823,2000,2600,3000,3200,4000,4600,5000,5800,6000,6000,6000
GET,/api/product-reviews/L9ECAV7KIM,331,1,1900,1890.5767977431924,37.990413999978045,6703.977258000123,940.4380664652568,0.14799921252583811,0.00044712753028954114,1900,2400,2700,2900,3500,4400,5100,5600,6700,6700,6700
GET,/api/product-reviews/LS4PSXUNUM,322,2,1800,1828.4421210030819,38.03127899936953,5989.2569989997355,1004.3167701863354,0.14397506475323224,0.0008942550605790823,1800,2300,2700,2900,3500,4200,4800,5400,6000,6000,6000
GET,/api/product-reviews/OLJCESPC7Z,316,1,1600,1751.744278588577,40.16627100008918,5930.297158999565,1012.0886075949367,0.141292299571495,0.00044712753028954114,1600,2200,2700,2900,3500,4300,4900,5100,5900,5900,5900
GET,/api/products/0PUK6V6EV0,2779,17,1400,1546.871384759621,10.30689999970491,7210.592954999811,419.00575746671467,1.2425674066746348,0.007601168014922199,1400,2000,2400,2700,3400,4100,5000,5600,7100,7200,7200
GET,/api/products/1YMWWN1N4O,2757,15,1500,1598.096032774033,10.401671000181523,7654.978406999362,883.6855277475516,1.2327306010082648,0.0067069129543431165,1500,2100,2500,2800,3400,4100,4900,5300,6600,7700,7700
GET,/api/products/2ZYFJ3GM2N,2736,8,1500,1596.3933918505124,10.02404300015769,8490.892024999994,554.6520467836257,1.2233409228721845,0.003577020242316329,1500,2100,2500,2800,3400,4100,4800,5200,7900,8500,8500
GET,/api/products/66VCHSJNUP,2702,13,1400,1588.5922650166326,10.845247999895946,8445.617149999634,492.080310880829,1.2081385868423402,0.005812657893764035,1400,2100,2500,2800,3400,4300,5000,5700,7200,8400,8400
GET,/api/products/6E92ZMYYFZ,2702,11,1400,1542.7924068031107,10.721098000431084,7214.110629000061,473.4529977794227,1.2081385868423402,0.004918402833184952,1400,2000,2400,2700,3400,4100,4900,5200,6800,7200,7200
GET,/api/products/9SIQT8TOJO,2790,17,1500,1613.76791671541,10.008604000177002,9207.34855899991,773.8383512544802,1.2474858095078196,0.007601168014922199,1500,2100,2600,2800,3500,4100,4900,5300,6900,9200,9200
GET,/api/products/HQTGWGPNH4,2719,14,1500,1610.652584045597,10.505301999728545,7633.5314050002125,735.6840750275836,1.2157397548572624,0.006259785424053576,1500,2100,2500,2800,3400,4100,4800,5200,6800,7600,7600
GET,/api/products/L9ECAV7KIM,2801,11,1400,1578.1112865394427,10.066595000353118,7659.099477000382,732.4866119243128,1.2524042123410046,0.004918402833184952,1400,2100,2500,2700,3400,4200,5000,5900,7400,7700,7700
GET,/api/products/LS4PSXUNUM,2713,10,1500,1570.6474468429772,10.129595999387675,8389.510787999825,527.4002948765204,1.213056989675525,0.004471275302895411,1500,2100,2400,2700,3300,4000,4800,5200,7700,8400,8400
GET,/api/products/OLJCESPC7Z,2762,15,1500,1607.3601247813172,10.108544000104303,7645.499543000369,503.76792179580013,1.2349662386597127,0.0067069129543431165,1500,2100,2500,2800,3400,4100,4900,5200,6600,7600,7600
GET,/api/products?currencyCode=USD,3997,21,2100,2036.8132636142066,10.506392000024789,7985.529454999778,6100.281961471103,1.7871687385672959,0.009389678136080364,2100,2700,3100,3400,4100,4700,5700,6100,7400,8000,8000
