timestamp_utc,phase,target_users,node_count,total_rps,checkout_succ_pct,browse_succ_pct,max_p95_ms,hpa_summary
2026-07-28T16:14:06Z,Phase 1: Low Baseline,25,5,3.21,99.97,99.96,1800.0,cart:2, checkout:2, currency:2, frontend:2, frontend-proxy:2, product-catalog:2
2026-07-28T16:14:43Z,Phase 1: Low Baseline,25,5,3.22,99.97,99.96,1800.0,cart:2, checkout:2, currency:2, frontend:2, frontend-proxy:2, product-catalog:2
2026-07-28T16:15:26Z,Phase 1: Low Baseline,25,5,3.23,99.97,99.96,1800.0,cart:2, checkout:2, currency:2, frontend:2, frontend-proxy:2, product-catalog:2
2026-07-28T16:16:07Z,Phase 1: Low Baseline,25,5,3.24,99.97,99.96,3800.0,cart:2, checkout:2, currency:2, frontend:2, frontend-proxy:2, product-catalog:2
2026-07-28T16:16:43Z,Phase 1: Low Baseline,25,5,3.25,99.97,99.96,4000.0,cart:2, checkout:2, currency:2, frontend:2, frontend-proxy:2, product-catalog:2
2026-07-28T16:17:19Z,Phase 1: Low Baseline,25,5,3.25,99.97,99.95,4000.0,cart:2, checkout:2, currency:2, frontend:2, frontend-proxy:2, product-catalog:2
2026-07-28T16:17:55Z,Phase 1: Low Baseline,25,5,3.26,99.97,99.95,4300.0,cart:2, checkout:2, currency:2, frontend:2, frontend-proxy:2, product-catalog:2
2026-07-28T16:18:31Z,Phase 1: Low Baseline,25,5,3.27,99.97,99.95,4300.0,cart:2, checkout:2, currency:2, frontend:2, frontend-proxy:2, product-catalog:2
2026-07-28T16:19:07Z,Phase 1: Low Baseline,25,5,3.28,99.97,99.95,4300.0,cart:2, checkout:2, currency:2, frontend:2, frontend-proxy:2, product-catalog:2
2026-07-28T16:19:43Z,Phase 1: Low Baseline,25,5,3.29,99.97,99.95,4300.0,cart:2, checkout:2, currency:2, frontend:2, frontend-proxy:2, product-catalog:2
2026-07-28T16:20:20Z,Phase 2: Ramp-Up,200,5,3.36,99.97,99.95,4300.0,cart:2, checkout:2, currency:2, frontend:2, frontend-proxy:2, product-catalog:2
2026-07-28T16:20:56Z,Phase 2: Ramp-Up,200,5,3.45,99.97,99.89,8600.0,cart:2, checkout:2, currency:2, frontend:4, frontend-proxy:2, product-catalog:2
2026-07-28T16:21:31Z,Phase 2: Ramp-Up,200,5,3.55,99.95,99.79,15000.0,cart:2, checkout:2, currency:2, frontend:6, frontend-proxy:2, product-catalog:3
2026-07-28T16:22:07Z,Phase 2: Ramp-Up,200,5,3.64,99.96,99.72,15000.0,cart:2, checkout:2, currency:2, frontend:6, frontend-proxy:2, product-catalog:3
2026-07-28T16:22:43Z,Phase 2: Ramp-Up,200,5,3.72,99.96,99.62,15000.0,cart:2, checkout:2, currency:2, frontend:6, frontend-proxy:2, product-catalog:3
2026-07-28T16:23:19Z,Phase 2: Ramp-Up,200,5,3.81,99.96,99.52,15000.0,cart:2, checkout:2, currency:2, frontend:6, frontend-proxy:2, product-catalog:3
2026-07-28T16:23:54Z,Phase 2: Ramp-Up,200,5,3.90,99.96,99.45,15000.0,cart:2, checkout:2, currency:2, frontend:6, frontend-proxy:2, product-catalog:3
2026-07-28T16:24:30Z,Phase 2: Ramp-Up,200,5,3.99,99.96,99.36,15000.0,cart:2, checkout:2, currency:2, frontend:6, frontend-proxy:2, product-catalog:3
2026-07-28T16:25:06Z,Phase 2: Ramp-Up,200,5,4.08,99.96,99.28,15000.0,cart:2, checkout:2, currency:2, frontend:6, frontend-proxy:2, product-catalog:3
2026-07-28T16:25:43Z,Phase 2: Ramp-Up,200,5,4.16,99.96,99.22,15000.0,cart:2, checkout:2, currency:2, frontend:6, frontend-proxy:2, product-catalog:3
2026-07-28T16:26:20Z,Phase 3: High Load Peak,200,5,4.26,99.96,99.14,15000.0,cart:2, checkout:2, currency:2, frontend:6, frontend-proxy:2, product-catalog:3
2026-07-28T16:26:56Z,Phase 3: High Load Peak,200,5,4.35,99.96,99.07,15000.0,cart:2, checkout:2, currency:2, frontend:6, frontend-proxy:2, product-catalog:3
2026-07-28T16:27:32Z,Phase 3: High Load Peak,200,5,4.43,99.96,99.00,15000.0,cart:2, checkout:2, currency:2, frontend:6, frontend-proxy:2, product-catalog:3
2026-07-28T16:28:08Z,Phase 3: High Load Peak,200,5,4.52,99.96,98.94,15000.0,cart:2, checkout:2, currency:2, frontend:6, frontend-proxy:2, product-catalog:3
2026-07-28T16:28:45Z,Phase 3: High Load Peak,200,5,4.61,99.97,98.87,15000.0,cart:2, checkout:2, currency:2, frontend:6, frontend-proxy:2, product-catalog:3
2026-07-28T16:29:21Z,Phase 3: High Load Peak,200,5,4.69,99.97,98.81,15000.0,cart:2, checkout:2, currency:2, frontend:6, frontend-proxy:2, product-catalog:3
2026-07-28T16:29:57Z,Phase 3: High Load Peak,200,5,4.78,99.97,98.76,15000.0,cart:2, checkout:2, currency:2, frontend:6, frontend-proxy:2, product-catalog:3
2026-07-28T16:30:33Z,Phase 3: High Load Peak,200,5,4.88,99.97,98.73,15000.0,cart:2, checkout:2, currency:2, frontend:6, frontend-proxy:2, product-catalog:3
