Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/products/66VCHSJNUP,HTTPError('503 Server Error: Service Unavailable for url: /api/products/66VCHSJNUP'),1,2026-07-27T14:15:58Z,2026-07-27T14:15:58Z
POST,/api/cart,HTTPError('503 Server Error: Service Unavailable for url: /api/cart'),7,2026-07-27T13:52:56Z,2026-07-27T14:15:57Z
GET,/api/products/LS4PSXUNUM,HTTPError('429 Client Error: Too Many Requests for url: /api/products/LS4PSXUNUM'),1,2026-07-27T13:50:32Z,2026-07-27T13:50:32Z
GET,/api/product-reviews/HQTGWGPNH4,HTTPError('503 Server Error: Service Unavailable for url: /api/product-reviews/HQTGWGPNH4'),1,2026-07-27T14:08:31Z,2026-07-27T14:08:31Z
GET,/api/products/OLJCESPC7Z,HTTPError('503 Server Error: Service Unavailable for url: /api/products/OLJCESPC7Z'),2,2026-07-27T14:14:57Z,2026-07-27T14:15:57Z
POST,/api/product-ask-ai-assistant/OLJCESPC7Z,HTTPError('429 Client Error: Too Many Requests for url: /api/product-ask-ai-assistant/OLJCESPC7Z'),2,2026-07-27T13:49:53Z,2026-07-27T13:58:43Z
GET,/api/data/?contextKeys=telescopes,HTTPError('503 Server Error: Service Unavailable for url: /api/data/?contextKeys=telescopes'),1,2026-07-27T14:15:51Z,2026-07-27T14:15:51Z
GET,/api/products/HQTGWGPNH4,HTTPError('503 Server Error: Service Unavailable for url: /api/products/HQTGWGPNH4'),1,2026-07-27T14:14:50Z,2026-07-27T14:14:50Z
GET,/api/data/?contextKeys=books,HTTPError('503 Server Error: Service Unavailable for url: /api/data/?contextKeys=books'),1,2026-07-27T14:14:56Z,2026-07-27T14:14:56Z
GET,/,HTTPError('429 Client Error: Too Many Requests for url: /'),1,2026-07-27T13:50:30Z,2026-07-27T13:50:30Z
GET,/api/products/6E92ZMYYFZ,HTTPError('429 Client Error: Too Many Requests for url: /api/products/6E92ZMYYFZ'),2,2026-07-27T13:50:33Z,2026-07-27T13:50:36Z
POST,/api/product-ask-ai-assistant/2ZYFJ3GM2N,HTTPError('500 Server Error: Internal Server Error for url: /api/product-ask-ai-assistant/2ZYFJ3GM2N'),1,2026-07-27T14:08:54Z,2026-07-27T14:08:54Z
GET,/,HTTPError('503 Server Error: Service Unavailable for url: /'),2,2026-07-27T14:08:24Z,2026-07-27T14:15:50Z
GET,/api/products?currencyCode=USD,HTTPError('429 Client Error: Too Many Requests for url: /api/products?currencyCode=USD'),2,2026-07-27T13:50:32Z,2026-07-27T13:50:36Z
GET,/api/products/L9ECAV7KIM,HTTPError('503 Server Error: Service Unavailable for url: /api/products/L9ECAV7KIM'),2,2026-07-27T14:08:24Z,2026-07-27T14:15:57Z
GET,/api/products/HQTGWGPNH4,HTTPError('429 Client Error: Too Many Requests for url: /api/products/HQTGWGPNH4'),1,2026-07-27T13:50:33Z,2026-07-27T13:50:33Z
GET,/api/products/9SIQT8TOJO,HTTPError('429 Client Error: Too Many Requests for url: /api/products/9SIQT8TOJO'),1,2026-07-27T13:50:36Z,2026-07-27T13:50:36Z
GET,/api/products/2ZYFJ3GM2N,HTTPError('503 Server Error: Service Unavailable for url: /api/products/2ZYFJ3GM2N'),1,2026-07-27T14:15:51Z,2026-07-27T14:15:51Z
GET,/api/products/6E92ZMYYFZ,HTTPError('503 Server Error: Service Unavailable for url: /api/products/6E92ZMYYFZ'),1,2026-07-27T14:15:57Z,2026-07-27T14:15:57Z
GET,/api/products/0PUK6V6EV0,HTTPError('503 Server Error: Service Unavailable for url: /api/products/0PUK6V6EV0'),1,2026-07-27T14:14:56Z,2026-07-27T14:14:56Z
GET,/api/data/?contextKeys=accessories,HTTPError('429 Client Error: Too Many Requests for url: /api/data/?contextKeys=accessories'),1,2026-07-27T13:51:34Z,2026-07-27T13:51:34Z
GET,/api/data/?contextKeys=binoculars,HTTPError('503 Server Error: Service Unavailable for url: /api/data/?contextKeys=binoculars'),1,2026-07-27T14:14:57Z,2026-07-27T14:14:57Z
GET,/api/products/L9ECAV7KIM,HTTPError('429 Client Error: Too Many Requests for url: /api/products/L9ECAV7KIM'),1,2026-07-27T13:50:36Z,2026-07-27T13:50:36Z
POST,/api/checkout,HTTPError('503 Server Error: Service Unavailable for url: /api/checkout'),1,2026-07-27T14:08:25Z,2026-07-27T14:08:25Z
POST,/api/checkout,HTTPError('500 Server Error: Internal Server Error for url: /api/checkout'),2,2026-07-27T14:08:25Z,2026-07-27T14:08:31Z
