Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,5368,3,14,27.469457698256907,3.743531182408333,761.6999540477991,12168.453427719822,1.4906994446243391,0.0008331032663697872,14,17,20,23,65,100,150,190,600,760,760
GET,/api/cart,6326,0,11,21.115820100208566,7.164138136431575,727.8913049958646,24.0,1.7567370876850912,0.0,11,12,14,17,41,85,120,160,610,730,730
POST,/api/cart,22003,7,14,23.864990668262116,5.13656809926033,5015.01888083294,118.41339817297641,6.110257056644809,0.0019439076215295034,14,16,19,21,33,53,98,170,730,4500,5000
POST,/api/checkout,7862,3,37,51.32039683946548,3.713957965373993,988.0566361825913,719.4605698295599,2.183285960066422,0.0008331032663697872,37,42,47,51,72,100,160,400,780,990,990
GET,/api/data/,436,0,14,26.195548162923767,9.81756392866373,525.4351701587439,200.4380733944954,0.12107767471240907,0.0,14,17,21,24,52,100,140,180,530,530,530
GET,/api/data/?contextKeys=accessories,435,1,15,30.4858536989396,9.454159066081047,564.3176441080868,302.3448275862069,0.12079997362361913,0.00027770108878992907,15,17,20,24,69,110,160,330,560,560,560
GET,/api/data/?contextKeys=assembly,388,0,15,31.46806593321878,10.07635286077857,689.7601711098105,89.0,0.10774802245049248,0.0,15,17,21,24,67,110,210,360,690,690,690
GET,/api/data/?contextKeys=binoculars,447,1,15,47.653917135708284,9.732351871207356,5010.886315954849,83.01789709172259,0.12413238668909829,0.00027770108878992907,15,17,21,28,90,120,180,640,5000,5000,5000
GET,/api/data/?contextKeys=books,449,1,15,44.083335821128934,9.11989202722907,5018.7583200167865,200.55902004454342,0.12468778886667814,0.00027770108878992907,15,18,21,25,89,120,180,250,5000,5000,5000
GET,/api/data/?contextKeys=telescopes,434,1,14,31.012241854675732,10.123368119820952,715.9506171010435,106.13594470046083,0.12052227253482921,0.00027770108878992907,14,17,19,22,53,120,170,370,720,720,720
GET,/api/data/?contextKeys=travel,435,0,15,32.36475315737142,10.251257102936506,746.8906019348651,129.0,0.12079997362361913,0.0,15,19,25,31,81,130,170,220,750,750,750
POST,/api/product-ask-ai-assistant/0PUK6V6EV0,496,0,20,1621.9027092884062,12.76093302294612,8543.789265910164,132.0,0.1377397400398048,0.0,20,37,100,330,8000,8100,8100,8200,8500,8500,8500
