Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3471,0,14,30.383287734469842,9.10222320817411,799.2304039653391,12175.84384903486,3.486897523213326,0.0,14,18,22,28,80,100,160,210,690,800,800
GET,/api/cart,4036,0,11,24.756917449146346,6.923716049641371,797.3816830199212,24.0,4.054485279080663,0.0,11,13,17,21,68,95,130,170,690,800,800
POST,/api/cart,13730,0,14,26.243758039279026,9.451133897528052,895.9470558911562,118.37997086671523,13.792884757625746,0.0,14,17,20,23,39,65,140,240,700,810,900
POST,/api/checkout,4901,2,36,56.167280736661134,23.825387004762888,2025.2905620727688,719.3893083044277,4.923447064612074,0.0020091601977604875,36,42,48,54,78,120,220,620,890,2000,2000
GET,/api/data/,322,0,14,36.777537480945355,9.800658095628023,738.616808084771,202.98136645962734,0.32347479183943845,0.0,14,18,25,34,110,130,180,220,740,740,740
GET,/api/data/?contextKeys=accessories,282,0,15,32.1428740639834,10.031749028712511,331.9197269156575,303.0,0.2832915878842287,0.0,15,18,23,36,90,110,190,220,330,330,330
GET,/api/data/?contextKeys=assembly,274,1,15,31.75069695002107,10.077155195176601,699.3599268607795,89.02189781021897,0.27525494709318676,0.0010045800988802438,15,19,23,33,79,110,160,170,700,700,700
GET,/api/data/?contextKeys=binoculars,292,0,15,31.085773914165745,10.187488049268723,677.8159330133349,83.0,0.2933373888730311,0.0,15,18,23,27,61,110,180,330,680,680,680
GET,/api/data/?contextKeys=books,279,0,14,34.311444337536514,9.379683993756771,369.80794300325215,203.31182795698925,0.280277847587588,0.0,14,19,25,38,99,130,210,230,370,370,370
GET,/api/data/?contextKeys=telescopes,288,0,15,30.169446566206815,9.718779008835554,220.22674209438264,106.0,0.28931906847751016,0.0,15,18,23,30,87,120,160,190,220,220,220
GET,/api/data/?contextKeys=travel,263,0,15,32.18791357191995,9.195346152409911,223.3394361101091,129.0,0.26420456600550407,0.0,15,19,25,35,97,120,160,210,220,220,220
POST,/api/product-ask-ai-assistant/0PUK6V6EV0,348,2,18,1218.5183552029575,3.752135904505849,8756.359257968143,131.3448275862069,0.3495938744103248,0.0020091601977604875,18,40,81,110,8000,8100,8200,8400,8800,8800,8800
POST,/api/product-ask-ai-assistant/1YMWWN1N4O,324,1,18,1035.1915833192452,3.989442950114608,8675.961771979928,131.64814814814815,0.32548395203719893,0.0010045800988802438,18,24,71,95,8000,8100,8300,8500,8700,8700,8700
